#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|          dieharder/antcrypt.dat|  6.30e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.75133780|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.89421083|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.72351029|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.76652817|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.58065040|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.84339548|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.01697781|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.66355673|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.04823838|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.93197747|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.92858575|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.44945215|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.61912597|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.20601380|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.12750257|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.76988063|  PASSED  
        diehard_runs|   0|    100000|     100|0.44907246|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.33813454|  PASSED  
       diehard_craps|   0|    200000|     100|0.76392484|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00703797|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00032692|   WEAK   
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.60966076|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.08320568|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.52820091|  PASSED  
          sts_serial|   2|    100000|     100|0.20820150|  PASSED  
          sts_serial|   3|    100000|     100|0.13090651|  PASSED  
          sts_serial|   3|    100000|     100|0.98748285|  PASSED  
          sts_serial|   4|    100000|     100|0.55764216|  PASSED  
          sts_serial|   4|    100000|     100|0.03120173|  PASSED  
          sts_serial|   5|    100000|     100|0.73430423|  PASSED  
          sts_serial|   5|    100000|     100|0.63562268|  PASSED  
          sts_serial|   6|    100000|     100|0.22003207|  PASSED  
          sts_serial|   6|    100000|     100|0.41306803|  PASSED  
          sts_serial|   7|    100000|     100|0.39139090|  PASSED  
          sts_serial|   7|    100000|     100|0.49470449|  PASSED  
          sts_serial|   8|    100000|     100|0.19081389|  PASSED  
          sts_serial|   8|    100000|     100|0.08694009|  PASSED  
          sts_serial|   9|    100000|     100|0.23302557|  PASSED  
          sts_serial|   9|    100000|     100|0.97882344|  PASSED  
          sts_serial|  10|    100000|     100|0.34342251|  PASSED  
          sts_serial|  10|    100000|     100|0.05289912|  PASSED  
          sts_serial|  11|    100000|     100|0.47827651|  PASSED  
          sts_serial|  11|    100000|     100|0.56500109|  PASSED  
          sts_serial|  12|    100000|     100|0.34747728|  PASSED  
          sts_serial|  12|    100000|     100|0.62948422|  PASSED  
          sts_serial|  13|    100000|     100|0.77075747|  PASSED  
          sts_serial|  13|    100000|     100|0.99979766|   WEAK   
          sts_serial|  14|    100000|     100|0.38429824|  PASSED  
          sts_serial|  14|    100000|     100|0.75342893|  PASSED  
          sts_serial|  15|    100000|     100|0.94563577|  PASSED  
          sts_serial|  15|    100000|     100|0.97164228|  PASSED  
          sts_serial|  16|    100000|     100|0.60296506|  PASSED  
          sts_serial|  16|    100000|     100|0.11104218|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.97050850|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.99319774|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.74259113|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.86481825|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.47726748|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.70276793|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.95974164|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.61587862|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.27704254|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.96952518|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.65847403|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.95317013|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.56353839|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.20395658|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.40691281|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.68307978|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.64609090|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.68361427|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.94107305|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.66218917|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.99106579|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.10873509|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.52105748|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.13672714|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.01690594|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.73553141|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.99913780|   WEAK   
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.00000249|   WEAK   
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.99658538|   WEAK   
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.00145756|   WEAK   
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.98285692|  PASSED  
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.48656416|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.67155161|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.88163374|  PASSED  
