#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             dieharder/argon.dat|  6.74e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96341384|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.85993252|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.33870762|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.24389070|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.94159229|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.07433027|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.78304371|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.54336554|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.32780625|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.32425569|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.35869931|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.99999254|   WEAK   
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.04001397|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.54916325|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.44207133|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.98190981|  PASSED  
        diehard_runs|   0|    100000|     100|0.20725210|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.09099254|  PASSED  
       diehard_craps|   0|    200000|     100|0.82096709|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00009907|   WEAK   
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.40180768|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.99633174|   WEAK   
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.82255361|  PASSED  
          sts_serial|   2|    100000|     100|0.98078905|  PASSED  
          sts_serial|   3|    100000|     100|0.28131474|  PASSED  
          sts_serial|   3|    100000|     100|0.82788438|  PASSED  
          sts_serial|   4|    100000|     100|0.11147976|  PASSED  
          sts_serial|   4|    100000|     100|0.25806650|  PASSED  
          sts_serial|   5|    100000|     100|0.30058202|  PASSED  
          sts_serial|   5|    100000|     100|0.85884031|  PASSED  
          sts_serial|   6|    100000|     100|0.44426828|  PASSED  
          sts_serial|   6|    100000|     100|0.11619517|  PASSED  
          sts_serial|   7|    100000|     100|0.70648580|  PASSED  
          sts_serial|   7|    100000|     100|0.67494324|  PASSED  
          sts_serial|   8|    100000|     100|0.35297475|  PASSED  
          sts_serial|   8|    100000|     100|0.62886742|  PASSED  
          sts_serial|   9|    100000|     100|0.70786785|  PASSED  
          sts_serial|   9|    100000|     100|0.90539103|  PASSED  
          sts_serial|  10|    100000|     100|0.95975721|  PASSED  
          sts_serial|  10|    100000|     100|0.69123563|  PASSED  
