#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|         dieharder/battcrypt.dat|  6.59e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.22620243|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.33089407|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.81260060|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.63712530|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.56560226|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.00783190|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.02541737|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.96312116|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.99647922|   WEAK   
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.25938348|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.35869931|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.95827933|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.94756386|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.39792494|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.01404706|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.76475591|  PASSED  
        diehard_runs|   0|    100000|     100|0.99484111|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.27035850|  PASSED  
       diehard_craps|   0|    200000|     100|0.26786996|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02172341|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08577768|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.73307439|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.34807572|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.44494849|  PASSED  
          sts_serial|   2|    100000|     100|0.92383621|  PASSED  
          sts_serial|   3|    100000|     100|0.69683585|  PASSED  
          sts_serial|   3|    100000|     100|0.22670565|  PASSED  
          sts_serial|   4|    100000|     100|0.59190956|  PASSED  
          sts_serial|   4|    100000|     100|0.54051421|  PASSED  
          sts_serial|   5|    100000|     100|0.48393740|  PASSED  
          sts_serial|   5|    100000|     100|0.81993749|  PASSED  
          sts_serial|   6|    100000|     100|0.59696545|  PASSED  
          sts_serial|   6|    100000|     100|0.33215978|  PASSED  
          sts_serial|   7|    100000|     100|0.27525751|  PASSED  
          sts_serial|   7|    100000|     100|0.05731241|  PASSED  
          sts_serial|   8|    100000|     100|0.49726490|  PASSED  
          sts_serial|   8|    100000|     100|0.83107181|  PASSED  
          sts_serial|   9|    100000|     100|0.36798846|  PASSED  
          sts_serial|   9|    100000|     100|0.91398995|  PASSED  
          sts_serial|  10|    100000|     100|0.73358949|  PASSED  
          sts_serial|  10|    100000|     100|0.29151873|  PASSED  
          sts_serial|  11|    100000|     100|0.63710352|  PASSED  
          sts_serial|  11|    100000|     100|0.28106211|  PASSED  
          sts_serial|  12|    100000|     100|0.94530507|  PASSED  
          sts_serial|  12|    100000|     100|0.94705507|  PASSED  
          sts_serial|  13|    100000|     100|0.54951082|  PASSED  
          sts_serial|  13|    100000|     100|0.86503799|  PASSED  
          sts_serial|  14|    100000|     100|0.98315585|  PASSED  
          sts_serial|  14|    100000|     100|0.79645549|  PASSED  
          sts_serial|  15|    100000|     100|0.18310618|  PASSED  
          sts_serial|  15|    100000|     100|0.46035612|  PASSED  
          sts_serial|  16|    100000|     100|0.54110190|  PASSED  
          sts_serial|  16|    100000|     100|0.99488276|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.38222343|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.15879519|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.69578858|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.33690163|  PASSED  
