#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            dieharder/catena.dat|  3.76e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.76175953|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.98478331|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.56092241|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.00298410|   WEAK   
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.25846554|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.22032231|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.17558681|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.18993763|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.58381033|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.14727851|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.53884141|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.41369863|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.25526034|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.42319379|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.69105778|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.01520412|  PASSED  
        diehard_runs|   0|    100000|     100|0.26855957|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.08146145|  PASSED  
       diehard_craps|   0|    200000|     100|0.94966576|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75293113|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000049|  FAILED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.82853985|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.38881265|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.71804980|  PASSED  
          sts_serial|   2|    100000|     100|0.33250184|  PASSED  
          sts_serial|   3|    100000|     100|0.36684572|  PASSED  
          sts_serial|   3|    100000|     100|0.06881731|  PASSED  
          sts_serial|   4|    100000|     100|0.31458907|  PASSED  
          sts_serial|   4|    100000|     100|0.87467446|  PASSED  
          sts_serial|   5|    100000|     100|0.38770318|  PASSED  
          sts_serial|   5|    100000|     100|0.68823730|  PASSED  
          sts_serial|   6|    100000|     100|0.70540374|  PASSED  
          sts_serial|   6|    100000|     100|0.64012239|  PASSED  
          sts_serial|   7|    100000|     100|0.12552364|  PASSED  
          sts_serial|   7|    100000|     100|0.32945965|  PASSED  
          sts_serial|   8|    100000|     100|0.92635696|  PASSED  
