#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|       dieharder/catena2-dbg.dat|  1.59e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.19946494|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.03850391|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.92374467|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.95967994|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.99751090|   WEAK   
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.68835042|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.66815388|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.50890404|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.87427467|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.55913293|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.18589551|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.87939639|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.57272699|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.78167677|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.04111086|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.77256279|  PASSED  
        diehard_runs|   0|    100000|     100|0.70842449|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.17440706|  PASSED  
       diehard_craps|   0|    200000|     100|0.73850706|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00005272|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000333|   WEAK   
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.97631997|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.99526103|   WEAK   
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.39866950|  PASSED  
          sts_serial|   2|    100000|     100|0.58373048|  PASSED  
          sts_serial|   3|    100000|     100|0.50528073|  PASSED  
          sts_serial|   3|    100000|     100|0.89324557|  PASSED  
          sts_serial|   4|    100000|     100|0.06584944|  PASSED  
          sts_serial|   4|    100000|     100|0.67601055|  PASSED  
          sts_serial|   5|    100000|     100|0.38452335|  PASSED  
          sts_serial|   5|    100000|     100|0.93833838|  PASSED  
          sts_serial|   6|    100000|     100|0.96966410|  PASSED  
          sts_serial|   6|    100000|     100|0.59041034|  PASSED  
          sts_serial|   7|    100000|     100|0.45925704|  PASSED  
          sts_serial|   7|    100000|     100|0.03629371|  PASSED  
          sts_serial|   8|    100000|     100|0.67709008|  PASSED  
          sts_serial|   8|    100000|     100|0.24990359|  PASSED  
          sts_serial|   9|    100000|     100|0.93413215|  PASSED  
          sts_serial|   9|    100000|     100|0.27329895|  PASSED  
          sts_serial|  10|    100000|     100|0.23441255|  PASSED  
          sts_serial|  10|    100000|     100|0.66262283|  PASSED  
          sts_serial|  11|    100000|     100|0.21314677|  PASSED  
          sts_serial|  11|    100000|     100|0.79141382|  PASSED  
          sts_serial|  12|    100000|     100|0.47712037|  PASSED  
          sts_serial|  12|    100000|     100|0.15198430|  PASSED  
          sts_serial|  13|    100000|     100|0.92747814|  PASSED  
          sts_serial|  13|    100000|     100|0.99718662|   WEAK   
          sts_serial|  14|    100000|     100|0.86664837|  PASSED  
          sts_serial|  14|    100000|     100|0.36805470|  PASSED  
          sts_serial|  15|    100000|     100|0.54589933|  PASSED  
          sts_serial|  15|    100000|     100|0.33835527|  PASSED  
          sts_serial|  16|    100000|     100|0.13210168|  PASSED  
          sts_serial|  16|    100000|     100|0.99407046|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.30115702|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.78230946|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.15183561|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.47503277|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.10360508|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.98499683|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.39363453|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.93659225|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.12263710|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.98148208|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.98550215|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.97138962|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.02370204|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.24313029|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.11785058|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.99553186|   WEAK   
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.55691835|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.49333437|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.79192556|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.75344545|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.59961317|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.08178180|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.46765180|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.08353772|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.05974301|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.00882368|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.37277597|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.03428885|  PASSED  
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.51486947|  PASSED  
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.49120516|  PASSED  
