#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           dieharder/earworm.dat|  1.49e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.89328732|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.96925747|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.59980748|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.85138824|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.91232487|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.38758753|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.06008321|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.16374681|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.11026819|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.34867764|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.42137346|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.98478720|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.78219993|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.95521199|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.03060947|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.87341673|  PASSED  
        diehard_runs|   0|    100000|     100|0.93201673|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.80002751|  PASSED  
       diehard_craps|   0|    200000|     100|0.65631407|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00082454|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.68398103|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.40668019|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.87430821|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.51192205|  PASSED  
          sts_serial|   2|    100000|     100|0.95779242|  PASSED  
          sts_serial|   3|    100000|     100|0.42492387|  PASSED  
          sts_serial|   3|    100000|     100|0.83771074|  PASSED  
          sts_serial|   4|    100000|     100|0.94330324|  PASSED  
          sts_serial|   4|    100000|     100|0.11619308|  PASSED  
          sts_serial|   5|    100000|     100|0.88136287|  PASSED  
          sts_serial|   5|    100000|     100|0.67426842|  PASSED  
          sts_serial|   6|    100000|     100|0.05821523|  PASSED  
          sts_serial|   6|    100000|     100|0.93993199|  PASSED  
          sts_serial|   7|    100000|     100|0.97829449|  PASSED  
          sts_serial|   7|    100000|     100|0.91253633|  PASSED  
          sts_serial|   8|    100000|     100|0.66586150|  PASSED  
          sts_serial|   8|    100000|     100|0.46529942|  PASSED  
          sts_serial|   9|    100000|     100|0.95251818|  PASSED  
          sts_serial|   9|    100000|     100|0.54116713|  PASSED  
          sts_serial|  10|    100000|     100|0.89772611|  PASSED  
          sts_serial|  10|    100000|     100|0.42668195|  PASSED  
          sts_serial|  11|    100000|     100|0.76804762|  PASSED  
          sts_serial|  11|    100000|     100|0.29492745|  PASSED  
          sts_serial|  12|    100000|     100|0.78488348|  PASSED  
          sts_serial|  12|    100000|     100|0.99644314|   WEAK   
          sts_serial|  13|    100000|     100|0.91534220|  PASSED  
          sts_serial|  13|    100000|     100|0.62602328|  PASSED  
          sts_serial|  14|    100000|     100|0.08141964|  PASSED  
          sts_serial|  14|    100000|     100|0.05701793|  PASSED  
          sts_serial|  15|    100000|     100|0.15741204|  PASSED  
          sts_serial|  15|    100000|     100|0.94818426|  PASSED  
          sts_serial|  16|    100000|     100|0.53017722|  PASSED  
          sts_serial|  16|    100000|     100|0.96725586|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.44826394|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.95609368|  PASSED  
# The file file_input_raw was rewound 32 times
