#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           dieharder/lanarea.dat|  1.56e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.85491210|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.35652530|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.70120330|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.59226440|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.24574371|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.50761871|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.14961035|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.09421149|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.16393768|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.84465530|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.64976124|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.38165074|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.10949604|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.25762202|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.02153516|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.68043275|  PASSED  
        diehard_runs|   0|    100000|     100|0.41206787|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.15255960|  PASSED  
       diehard_craps|   0|    200000|     100|0.74907280|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00002676|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.10838766|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.64983621|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.69558114|  PASSED  
          sts_serial|   2|    100000|     100|0.17897692|  PASSED  
          sts_serial|   3|    100000|     100|0.10244333|  PASSED  
          sts_serial|   3|    100000|     100|0.18376409|  PASSED  
          sts_serial|   4|    100000|     100|0.58405902|  PASSED  
          sts_serial|   4|    100000|     100|0.02261182|  PASSED  
          sts_serial|   5|    100000|     100|0.83202107|  PASSED  
          sts_serial|   5|    100000|     100|0.60616143|  PASSED  
          sts_serial|   6|    100000|     100|0.94217595|  PASSED  
          sts_serial|   6|    100000|     100|0.11412188|  PASSED  
          sts_serial|   7|    100000|     100|0.99380654|  PASSED  
          sts_serial|   7|    100000|     100|0.84488577|  PASSED  
          sts_serial|   8|    100000|     100|0.90876426|  PASSED  
          sts_serial|   8|    100000|     100|0.71174184|  PASSED  
          sts_serial|   9|    100000|     100|0.52027199|  PASSED  
          sts_serial|   9|    100000|     100|0.22596937|  PASSED  
          sts_serial|  10|    100000|     100|0.15987923|  PASSED  
          sts_serial|  10|    100000|     100|0.00335182|   WEAK   
          sts_serial|  11|    100000|     100|0.50690142|  PASSED  
          sts_serial|  11|    100000|     100|0.86036630|  PASSED  
          sts_serial|  12|    100000|     100|0.31463199|  PASSED  
          sts_serial|  12|    100000|     100|0.98077959|  PASSED  
          sts_serial|  13|    100000|     100|0.94653799|  PASSED  
          sts_serial|  13|    100000|     100|0.23483795|  PASSED  
          sts_serial|  14|    100000|     100|0.59344878|  PASSED  
          sts_serial|  14|    100000|     100|0.08475784|  PASSED  
          sts_serial|  15|    100000|     100|0.43869664|  PASSED  
          sts_serial|  15|    100000|     100|0.37764274|  PASSED  
          sts_serial|  16|    100000|     100|0.44848175|  PASSED  
          sts_serial|  16|    100000|     100|0.11094203|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.96174606|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.36625239|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.77389182|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.70644756|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.69579782|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.49162357|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.42371805|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.62095573|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.03230755|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.97687956|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.09105486|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.47553296|  PASSED  
# The file file_input_raw was rewound 46 times
