#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|          dieharder/parallel.dat|  1.34e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.68059476|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.63847201|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.75771315|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.34928862|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.39832585|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.02387232|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.26573916|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.83349937|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.45644905|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.33626691|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.64976124|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.99917729|   WEAK   
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.99991981|   WEAK   
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.49639316|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.07987717|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.97165683|  PASSED  
        diehard_runs|   0|    100000|     100|0.26357257|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.91309297|  PASSED  
       diehard_craps|   0|    200000|     100|0.81843553|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05814687|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02594036|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.87419831|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.66592370|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.16384974|  PASSED  
          sts_serial|   2|    100000|     100|0.78308395|  PASSED  
          sts_serial|   3|    100000|     100|0.69040395|  PASSED  
          sts_serial|   3|    100000|     100|0.64603545|  PASSED  
          sts_serial|   4|    100000|     100|0.92763930|  PASSED  
          sts_serial|   4|    100000|     100|0.45988008|  PASSED  
          sts_serial|   5|    100000|     100|0.60719488|  PASSED  
          sts_serial|   5|    100000|     100|0.96855606|  PASSED  
          sts_serial|   6|    100000|     100|0.82690780|  PASSED  
          sts_serial|   6|    100000|     100|0.74626674|  PASSED  
          sts_serial|   7|    100000|     100|0.67725516|  PASSED  
          sts_serial|   7|    100000|     100|0.60759075|  PASSED  
          sts_serial|   8|    100000|     100|0.54821786|  PASSED  
          sts_serial|   8|    100000|     100|0.10042006|  PASSED  
          sts_serial|   9|    100000|     100|0.20951159|  PASSED  
          sts_serial|   9|    100000|     100|0.77731788|  PASSED  
          sts_serial|  10|    100000|     100|0.03867527|  PASSED  
          sts_serial|  10|    100000|     100|0.56286880|  PASSED  
          sts_serial|  11|    100000|     100|0.27006390|  PASSED  
          sts_serial|  11|    100000|     100|0.98492655|  PASSED  
          sts_serial|  12|    100000|     100|0.70810613|  PASSED  
          sts_serial|  12|    100000|     100|0.59358239|  PASSED  
          sts_serial|  13|    100000|     100|0.35265218|  PASSED  
          sts_serial|  13|    100000|     100|0.29190428|  PASSED  
          sts_serial|  14|    100000|     100|0.11554600|  PASSED  
          sts_serial|  14|    100000|     100|0.73165761|  PASSED  
          sts_serial|  15|    100000|     100|0.39424795|  PASSED  
          sts_serial|  15|    100000|     100|0.52765713|  PASSED  
          sts_serial|  16|    100000|     100|0.96927121|  PASSED  
          sts_serial|  16|    100000|     100|0.29475621|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.87326971|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.93247164|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.39891541|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.87317167|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.76784115|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.23996376|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.82335105|  PASSED  
