#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            dieharder/pomelo.dat|  1.83e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.30854397|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.71791979|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.94613775|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.33401981|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.34895931|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.39781039|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.64804883|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.35957852|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.79090897|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.53112022|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.87504329|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.56293438|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.31028679|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.88913609|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.17624633|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.83097381|  PASSED  
        diehard_runs|   0|    100000|     100|0.56505340|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.78428160|  PASSED  
       diehard_craps|   0|    200000|     100|0.97996015|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01528618|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.02136849|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.65453159|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.37645273|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.06866178|  PASSED  
          sts_serial|   2|    100000|     100|0.08221573|  PASSED  
          sts_serial|   3|    100000|     100|0.97209764|  PASSED  
          sts_serial|   3|    100000|     100|0.39408543|  PASSED  
          sts_serial|   4|    100000|     100|0.59829931|  PASSED  
          sts_serial|   4|    100000|     100|0.49862903|  PASSED  
          sts_serial|   5|    100000|     100|0.34406165|  PASSED  
          sts_serial|   5|    100000|     100|0.11984759|  PASSED  
          sts_serial|   6|    100000|     100|0.05219510|  PASSED  
          sts_serial|   6|    100000|     100|0.07578840|  PASSED  
          sts_serial|   7|    100000|     100|0.06465535|  PASSED  
          sts_serial|   7|    100000|     100|0.09235859|  PASSED  
          sts_serial|   8|    100000|     100|0.20048112|  PASSED  
          sts_serial|   8|    100000|     100|0.58411823|  PASSED  
          sts_serial|   9|    100000|     100|0.05021643|  PASSED  
          sts_serial|   9|    100000|     100|0.39806114|  PASSED  
          sts_serial|  10|    100000|     100|0.15495945|  PASSED  
          sts_serial|  10|    100000|     100|0.66753613|  PASSED  
          sts_serial|  11|    100000|     100|0.13869979|  PASSED  
          sts_serial|  11|    100000|     100|0.43237668|  PASSED  
          sts_serial|  12|    100000|     100|0.56753391|  PASSED  
          sts_serial|  12|    100000|     100|0.89347097|  PASSED  
          sts_serial|  13|    100000|     100|0.62773414|  PASSED  
          sts_serial|  13|    100000|     100|0.99999390|   WEAK   
          sts_serial|  14|    100000|     100|0.69307993|  PASSED  
          sts_serial|  14|    100000|     100|0.56251619|  PASSED  
          sts_serial|  15|    100000|     100|0.29553706|  PASSED  
          sts_serial|  15|    100000|     100|0.77377414|  PASSED  
          sts_serial|  16|    100000|     100|0.81933204|  PASSED  
          sts_serial|  16|    100000|     100|0.15249859|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.79993847|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.74420837|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.59355630|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.87247626|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.97448295|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.86567680|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.46481601|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.72167302|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.54581628|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.46749087|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.10912623|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.59439465|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.99734617|   WEAK   
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.60215643|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.89541274|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.96832801|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.33726465|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.47557011|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.95749883|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.23237996|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.93787904|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.18896562|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.70088395|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.48060831|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.21681294|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.95144936|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.47878689|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.46863924|  PASSED  
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.31594069|  PASSED  
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.00079791|   WEAK   
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.18013830|  PASSED  
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.14301572|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.32685238|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.90808450|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  14|   1000000|     100|0.02656037|  PASSED  
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000197|   WEAK   
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  16|   1000000|     100|0.15347151|  PASSED  
# The file file_input_raw was rewound 211 times
      rgb_lagged_sum|  17|   1000000|     100|0.47753726|  PASSED  
# The file file_input_raw was rewound 230 times
      rgb_lagged_sum|  18|   1000000|     100|0.84565551|  PASSED  
# The file file_input_raw was rewound 249 times
      rgb_lagged_sum|  19|   1000000|     100|0.01687632|  PASSED  
# The file file_input_raw was rewound 269 times
      rgb_lagged_sum|  20|   1000000|     100|0.77194970|  PASSED  
# The file file_input_raw was rewound 290 times
      rgb_lagged_sum|  21|   1000000|     100|0.82661291|  PASSED  
# The file file_input_raw was rewound 312 times
      rgb_lagged_sum|  22|   1000000|     100|0.15355429|  PASSED  
# The file file_input_raw was rewound 335 times
      rgb_lagged_sum|  23|   1000000|     100|0.48234064|  PASSED  
# The file file_input_raw was rewound 358 times
      rgb_lagged_sum|  24|   1000000|     100|0.00024691|   WEAK   
# The file file_input_raw was rewound 383 times
      rgb_lagged_sum|  25|   1000000|     100|0.26004412|  PASSED  
# The file file_input_raw was rewound 409 times
      rgb_lagged_sum|  26|   1000000|     100|0.88089774|  PASSED  
# The file file_input_raw was rewound 436 times
      rgb_lagged_sum|  27|   1000000|     100|0.55280140|  PASSED  
# The file file_input_raw was rewound 463 times
      rgb_lagged_sum|  28|   1000000|     100|0.29084337|  PASSED  
# The file file_input_raw was rewound 492 times
      rgb_lagged_sum|  29|   1000000|     100|0.72527265|  PASSED  
# The file file_input_raw was rewound 521 times
      rgb_lagged_sum|  30|   1000000|     100|0.12274364|  PASSED  
# The file file_input_raw was rewound 552 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 583 times
      rgb_lagged_sum|  32|   1000000|     100|0.17234800|  PASSED  
# The file file_input_raw was rewound 584 times
     rgb_kstest_test|   0|     10000|    1000|0.12889374|  PASSED  
# The file file_input_raw was rewound 585 times
     dab_bytedistrib|   0|  51200000|       1|0.23895308|  PASSED  
# The file file_input_raw was rewound 585 times
             dab_dct| 256|     50000|       1|0.00244077|   WEAK   
# The file file_input_raw was rewound 586 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.01859618|  PASSED  
        dab_filltree|  32|  15000000|       1|0.88227651|  PASSED  
# The file file_input_raw was rewound 586 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.85929022|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.05424095|  PASSED  
# The file file_input_raw was rewound 587 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.26198668|  PASSED  
