#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|        dieharder/pufferfish.dat|  1.80e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.44312648|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.30985537|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.80559321|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.09538173|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.72451061|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.00078781|   WEAK   
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.33004989|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.62739004|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.14988262|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.25981666|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.66912419|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.72105660|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.49658859|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.13630100|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.61783764|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.23351297|  PASSED  
        diehard_runs|   0|    100000|     100|0.65459241|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.47911000|  PASSED  
       diehard_craps|   0|    200000|     100|0.98519118|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.11102647|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.85102897|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.01061744|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.98386494|  PASSED  
          sts_serial|   2|    100000|     100|0.31206116|  PASSED  
          sts_serial|   3|    100000|     100|0.97670562|  PASSED  
          sts_serial|   3|    100000|     100|0.86383217|  PASSED  
          sts_serial|   4|    100000|     100|0.84974013|  PASSED  
          sts_serial|   4|    100000|     100|0.60245058|  PASSED  
          sts_serial|   5|    100000|     100|0.84602137|  PASSED  
          sts_serial|   5|    100000|     100|0.57247950|  PASSED  
          sts_serial|   6|    100000|     100|0.89827777|  PASSED  
          sts_serial|   6|    100000|     100|0.52757185|  PASSED  
          sts_serial|   7|    100000|     100|0.71174424|  PASSED  
          sts_serial|   7|    100000|     100|0.74083725|  PASSED  
          sts_serial|   8|    100000|     100|0.68790024|  PASSED  
          sts_serial|   8|    100000|     100|0.33508792|  PASSED  
          sts_serial|   9|    100000|     100|0.65621858|  PASSED  
          sts_serial|   9|    100000|     100|0.60172320|  PASSED  
          sts_serial|  10|    100000|     100|0.12266994|  PASSED  
          sts_serial|  10|    100000|     100|0.07593300|  PASSED  
          sts_serial|  11|    100000|     100|0.06262690|  PASSED  
          sts_serial|  11|    100000|     100|0.27529153|  PASSED  
          sts_serial|  12|    100000|     100|0.20532745|  PASSED  
          sts_serial|  12|    100000|     100|0.77035772|  PASSED  
          sts_serial|  13|    100000|     100|0.57978484|  PASSED  
          sts_serial|  13|    100000|     100|0.94040823|  PASSED  
          sts_serial|  14|    100000|     100|0.58023441|  PASSED  
          sts_serial|  14|    100000|     100|0.95184852|  PASSED  
          sts_serial|  15|    100000|     100|0.15013791|  PASSED  
          sts_serial|  15|    100000|     100|0.36609351|  PASSED  
          sts_serial|  16|    100000|     100|0.39704361|  PASSED  
          sts_serial|  16|    100000|     100|0.52630584|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.24223260|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.62080743|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.15890986|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.85577034|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.36510779|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.99257586|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.12605568|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.13836468|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.14395578|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.00892773|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.39452329|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.25384952|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.27709038|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.91753316|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.43502520|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.64694395|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.70324606|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.08374410|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.70001268|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.77974004|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.95014165|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.04569566|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.27551949|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.00811557|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.01573820|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.04266873|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.85553374|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.00372695|   WEAK   
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.36886922|  PASSED  
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.02314507|  PASSED  
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.91518509|  PASSED  
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.04208938|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.65704297|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.00877514|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  14|   1000000|     100|0.33263600|  PASSED  
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  15|   1000000|     100|0.00346372|   WEAK   
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  16|   1000000|     100|0.73747651|  PASSED  
# The file file_input_raw was rewound 211 times
      rgb_lagged_sum|  17|   1000000|     100|0.29431842|  PASSED  
