#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|               dieharder/rig.dat|  1.66e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79558002|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.99261354|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.80631002|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.15122138|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.69392029|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.50216266|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.44395287|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.46585342|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.46726111|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.67077455|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.36948334|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.56352442|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.64895740|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.09328923|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.28411149|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.93900584|  PASSED  
        diehard_runs|   0|    100000|     100|0.52620397|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.64845530|  PASSED  
       diehard_craps|   0|    200000|     100|0.44050476|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08625344|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06468447|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.99855835|   WEAK   
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.70259800|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.58801606|  PASSED  
          sts_serial|   2|    100000|     100|0.41762199|  PASSED  
          sts_serial|   3|    100000|     100|0.98667858|  PASSED  
          sts_serial|   3|    100000|     100|0.62420715|  PASSED  
          sts_serial|   4|    100000|     100|0.35419778|  PASSED  
          sts_serial|   4|    100000|     100|0.28882787|  PASSED  
          sts_serial|   5|    100000|     100|0.99138405|  PASSED  
          sts_serial|   5|    100000|     100|0.12392011|  PASSED  
          sts_serial|   6|    100000|     100|0.20484277|  PASSED  
          sts_serial|   6|    100000|     100|0.06284817|  PASSED  
          sts_serial|   7|    100000|     100|0.54737140|  PASSED  
          sts_serial|   7|    100000|     100|0.78223388|  PASSED  
          sts_serial|   8|    100000|     100|0.95087721|  PASSED  
          sts_serial|   8|    100000|     100|0.36974834|  PASSED  
          sts_serial|   9|    100000|     100|0.99984565|   WEAK   
          sts_serial|   9|    100000|     100|0.90905720|  PASSED  
          sts_serial|  10|    100000|     100|0.91406415|  PASSED  
          sts_serial|  10|    100000|     100|0.78459259|  PASSED  
          sts_serial|  11|    100000|     100|0.20137105|  PASSED  
          sts_serial|  11|    100000|     100|0.11398340|  PASSED  
          sts_serial|  12|    100000|     100|0.40575346|  PASSED  
          sts_serial|  12|    100000|     100|0.97540501|  PASSED  
          sts_serial|  13|    100000|     100|0.48569951|  PASSED  
          sts_serial|  13|    100000|     100|0.88848990|  PASSED  
          sts_serial|  14|    100000|     100|0.38683755|  PASSED  
          sts_serial|  14|    100000|     100|0.04583245|  PASSED  
          sts_serial|  15|    100000|     100|0.18266757|  PASSED  
          sts_serial|  15|    100000|     100|0.68379403|  PASSED  
          sts_serial|  16|    100000|     100|0.74400315|  PASSED  
          sts_serial|  16|    100000|     100|0.18259239|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.62979601|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.12591854|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.99990209|   WEAK   
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.40776183|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.28443927|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.18592746|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.75770789|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.95227211|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.41964093|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.58702225|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.58498574|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.03298553|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.69544270|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.28815053|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.57888143|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.07930438|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.78767466|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.23726204|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.57989885|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.92657862|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.09074283|  PASSED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.79874168|  PASSED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.20314436|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.84873281|  PASSED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.03981980|  PASSED  
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.86201823|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.23763773|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.32915668|  PASSED  
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.20987494|  PASSED  
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.14713905|  PASSED  
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.59651780|  PASSED  
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.43304603|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.01519844|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.91944682|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  14|   1000000|     100|0.38483288|  PASSED  
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000347|   WEAK   
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  16|   1000000|     100|0.14431856|  PASSED  
# The file file_input_raw was rewound 211 times
      rgb_lagged_sum|  17|   1000000|     100|0.58592381|  PASSED  
# The file file_input_raw was rewound 230 times
      rgb_lagged_sum|  18|   1000000|     100|0.03605512|  PASSED  
# The file file_input_raw was rewound 249 times
      rgb_lagged_sum|  19|   1000000|     100|0.04610625|  PASSED  
# The file file_input_raw was rewound 269 times
      rgb_lagged_sum|  20|   1000000|     100|0.15041518|  PASSED  
# The file file_input_raw was rewound 290 times
      rgb_lagged_sum|  21|   1000000|     100|0.87206985|  PASSED  
# The file file_input_raw was rewound 312 times
      rgb_lagged_sum|  22|   1000000|     100|0.31178427|  PASSED  
# The file file_input_raw was rewound 335 times
      rgb_lagged_sum|  23|   1000000|     100|0.18544863|  PASSED  
# The file file_input_raw was rewound 358 times
      rgb_lagged_sum|  24|   1000000|     100|0.00000044|  FAILED  
# The file file_input_raw was rewound 383 times
      rgb_lagged_sum|  25|   1000000|     100|0.90352444|  PASSED  
# The file file_input_raw was rewound 409 times
      rgb_lagged_sum|  26|   1000000|     100|0.66547472|  PASSED  
# The file file_input_raw was rewound 436 times
      rgb_lagged_sum|  27|   1000000|     100|0.62465871|  PASSED  
# The file file_input_raw was rewound 463 times
      rgb_lagged_sum|  28|   1000000|     100|0.34029627|  PASSED  
# The file file_input_raw was rewound 492 times
      rgb_lagged_sum|  29|   1000000|     100|0.00239913|   WEAK   
# The file file_input_raw was rewound 521 times
      rgb_lagged_sum|  30|   1000000|     100|0.22687105|  PASSED  
# The file file_input_raw was rewound 552 times
      rgb_lagged_sum|  31|   1000000|     100|0.00004508|   WEAK   
# The file file_input_raw was rewound 583 times
