#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              dieharder/rig2.dat|  1.53e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34840397|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.95235934|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.41409360|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.82547352|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.52703147|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.62371510|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.61305001|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.93265432|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.83071519|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.38131885|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.00498762|   WEAK   
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.78164194|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.30043199|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.01411100|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.58032942|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.04940672|  PASSED  
        diehard_runs|   0|    100000|     100|0.98255132|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.32286171|  PASSED  
       diehard_craps|   0|    200000|     100|0.54338891|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01846725|  PASSED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.48941364|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.25499852|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.85916197|  PASSED  
          sts_serial|   2|    100000|     100|0.69004459|  PASSED  
          sts_serial|   3|    100000|     100|0.37788171|  PASSED  
          sts_serial|   3|    100000|     100|0.83356849|  PASSED  
          sts_serial|   4|    100000|     100|0.12077549|  PASSED  
          sts_serial|   4|    100000|     100|0.39051273|  PASSED  
          sts_serial|   5|    100000|     100|0.99579257|   WEAK   
          sts_serial|   5|    100000|     100|0.82254516|  PASSED  
          sts_serial|   6|    100000|     100|0.67329859|  PASSED  
          sts_serial|   6|    100000|     100|0.65573052|  PASSED  
          sts_serial|   7|    100000|     100|0.07059449|  PASSED  
          sts_serial|   7|    100000|     100|0.29541436|  PASSED  
          sts_serial|   8|    100000|     100|0.88538214|  PASSED  
          sts_serial|   8|    100000|     100|0.79248231|  PASSED  
          sts_serial|   9|    100000|     100|0.53125674|  PASSED  
          sts_serial|   9|    100000|     100|0.93686369|  PASSED  
          sts_serial|  10|    100000|     100|0.60962704|  PASSED  
          sts_serial|  10|    100000|     100|0.23503771|  PASSED  
          sts_serial|  11|    100000|     100|0.92406747|  PASSED  
          sts_serial|  11|    100000|     100|0.99602910|   WEAK   
          sts_serial|  12|    100000|     100|0.86406812|  PASSED  
          sts_serial|  12|    100000|     100|0.78585301|  PASSED  
          sts_serial|  13|    100000|     100|0.98985278|  PASSED  
          sts_serial|  13|    100000|     100|0.21462361|  PASSED  
          sts_serial|  14|    100000|     100|0.71264507|  PASSED  
          sts_serial|  14|    100000|     100|0.46204200|  PASSED  
          sts_serial|  15|    100000|     100|0.47466699|  PASSED  
          sts_serial|  15|    100000|     100|0.32127199|  PASSED  
          sts_serial|  16|    100000|     100|0.33435098|  PASSED  
          sts_serial|  16|    100000|     100|0.43190590|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.17946868|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.50259890|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.22617933|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.73870810|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.10185323|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.36163612|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.22105442|  PASSED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.42135818|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.87588633|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.46052720|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.73263320|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.01144836|  PASSED  
