#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           dieharder/schvrch.dat|  1.47e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.64987656|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.53662129|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.63000821|  PASSED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.93904834|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.61897631|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.01061052|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.71712316|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.69537380|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.74377829|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.94780916|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.56923274|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.99998516|   WEAK   
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.93726318|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.61256859|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.42822820|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.91626311|  PASSED  
        diehard_runs|   0|    100000|     100|0.35567675|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.05724631|  PASSED  
       diehard_craps|   0|    200000|     100|0.05118639|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.57357172|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.88539823|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.83315607|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.95825034|  PASSED  
          sts_serial|   2|    100000|     100|0.87330976|  PASSED  
          sts_serial|   3|    100000|     100|0.69857648|  PASSED  
          sts_serial|   3|    100000|     100|0.79899579|  PASSED  
          sts_serial|   4|    100000|     100|0.50163684|  PASSED  
          sts_serial|   4|    100000|     100|0.58983634|  PASSED  
          sts_serial|   5|    100000|     100|0.03008509|  PASSED  
          sts_serial|   5|    100000|     100|0.26614335|  PASSED  
          sts_serial|   6|    100000|     100|0.07382288|  PASSED  
          sts_serial|   6|    100000|     100|0.28058227|  PASSED  
          sts_serial|   7|    100000|     100|0.16425626|  PASSED  
          sts_serial|   7|    100000|     100|0.53456117|  PASSED  
          sts_serial|   8|    100000|     100|0.12718112|  PASSED  
          sts_serial|   8|    100000|     100|0.11456290|  PASSED  
          sts_serial|   9|    100000|     100|0.47424087|  PASSED  
          sts_serial|   9|    100000|     100|0.48622278|  PASSED  
          sts_serial|  10|    100000|     100|0.79418998|  PASSED  
          sts_serial|  10|    100000|     100|0.46278292|  PASSED  
          sts_serial|  11|    100000|     100|0.28880777|  PASSED  
          sts_serial|  11|    100000|     100|0.74244544|  PASSED  
