#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|           dieharder/tortuga.dat|  1.54e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.04055164|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.00397098|   WEAK   
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.02812274|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.00001141|   WEAK   
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.25573355|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.00090065|   WEAK   
        diehard_runs|   0|    100000|     100|0.00086581|   WEAK   
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.79467761|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000021|  FAILED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.23131811|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.34678060|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.12097230|  PASSED  
          sts_serial|   2|    100000|     100|0.00000006|  FAILED  
          sts_serial|   3|    100000|     100|0.04410657|  PASSED  
          sts_serial|   3|    100000|     100|0.00486686|   WEAK   
          sts_serial|   4|    100000|     100|0.01681472|  PASSED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00197323|   WEAK   
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.00000000|  FAILED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.00000000|  FAILED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.00000000|  FAILED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.44046088|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.65693023|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.00995086|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.00002415|   WEAK   
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.00000010|  FAILED  
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|   1|   1000000|     100|0.00000004|  FAILED  
# The file file_input_raw was rewound 54 times
      rgb_lagged_sum|   2|   1000000|     100|0.73178345|  PASSED  
# The file file_input_raw was rewound 58 times
      rgb_lagged_sum|   3|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 63 times
      rgb_lagged_sum|   4|   1000000|     100|0.00000576|   WEAK   
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|   5|   1000000|     100|0.95892988|  PASSED  
# The file file_input_raw was rewound 75 times
      rgb_lagged_sum|   6|   1000000|     100|0.99259488|  PASSED  
# The file file_input_raw was rewound 83 times
      rgb_lagged_sum|   7|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   8|   1000000|     100|0.81242499|  PASSED  
# The file file_input_raw was rewound 101 times
      rgb_lagged_sum|   9|   1000000|     100|0.00000016|  FAILED  
# The file file_input_raw was rewound 111 times
      rgb_lagged_sum|  10|   1000000|     100|0.99887523|   WEAK   
# The file file_input_raw was rewound 123 times
      rgb_lagged_sum|  11|   1000000|     100|0.00682451|  PASSED  
# The file file_input_raw was rewound 135 times
      rgb_lagged_sum|  12|   1000000|     100|0.64364145|  PASSED  
# The file file_input_raw was rewound 149 times
      rgb_lagged_sum|  13|   1000000|     100|0.82118997|  PASSED  
# The file file_input_raw was rewound 163 times
      rgb_lagged_sum|  14|   1000000|     100|0.00161972|   WEAK   
# The file file_input_raw was rewound 178 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  16|   1000000|     100|0.41569541|  PASSED  
# The file file_input_raw was rewound 211 times
      rgb_lagged_sum|  17|   1000000|     100|0.71829554|  PASSED  
# The file file_input_raw was rewound 230 times
      rgb_lagged_sum|  18|   1000000|     100|0.84329157|  PASSED  
# The file file_input_raw was rewound 249 times
      rgb_lagged_sum|  19|   1000000|     100|0.01141796|  PASSED  
# The file file_input_raw was rewound 269 times
      rgb_lagged_sum|  20|   1000000|     100|0.83577948|  PASSED  
# The file file_input_raw was rewound 290 times
      rgb_lagged_sum|  21|   1000000|     100|0.73606149|  PASSED  
# The file file_input_raw was rewound 312 times
      rgb_lagged_sum|  22|   1000000|     100|0.98823110|  PASSED  
# The file file_input_raw was rewound 335 times
      rgb_lagged_sum|  23|   1000000|     100|0.42933237|  PASSED  
# The file file_input_raw was rewound 358 times
      rgb_lagged_sum|  24|   1000000|     100|0.14276060|  PASSED  
# The file file_input_raw was rewound 383 times
      rgb_lagged_sum|  25|   1000000|     100|0.45657243|  PASSED  
# The file file_input_raw was rewound 409 times
      rgb_lagged_sum|  26|   1000000|     100|0.86075892|  PASSED  
# The file file_input_raw was rewound 436 times
      rgb_lagged_sum|  27|   1000000|     100|0.74025188|  PASSED  
# The file file_input_raw was rewound 463 times
      rgb_lagged_sum|  28|   1000000|     100|0.46840971|  PASSED  
# The file file_input_raw was rewound 492 times
      rgb_lagged_sum|  29|   1000000|     100|0.00078810|   WEAK   
# The file file_input_raw was rewound 521 times
      rgb_lagged_sum|  30|   1000000|     100|0.64888615|  PASSED  
# The file file_input_raw was rewound 552 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 583 times
      rgb_lagged_sum|  32|   1000000|     100|0.97966079|  PASSED  
# The file file_input_raw was rewound 584 times
     rgb_kstest_test|   0|     10000|    1000|0.00000000|  FAILED  
# The file file_input_raw was rewound 585 times
     dab_bytedistrib|   0|  51200000|       1|1.00000000|  FAILED  
# The file file_input_raw was rewound 585 times
             dab_dct| 256|     50000|       1|0.71433326|  PASSED  
# The file file_input_raw was rewound 586 times
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
# The file file_input_raw was rewound 586 times
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
# The file file_input_raw was rewound 587 times
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
