#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              dieharder/yarn.dat|  6.18e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.46251554|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.47316239|  PASSED  
# The file file_input_raw was rewound 2 times
  diehard_rank_32x32|   0|     40000|     100|0.99928081|   WEAK   
# The file file_input_raw was rewound 2 times
    diehard_rank_6x8|   0|    100000|     100|0.51035266|  PASSED  
# The file file_input_raw was rewound 3 times
   diehard_bitstream|   0|   2097152|     100|0.65669868|  PASSED  
# The file file_input_raw was rewound 5 times
        diehard_opso|   0|   2097152|     100|0.33263971|  PASSED  
# The file file_input_raw was rewound 6 times
        diehard_oqso|   0|   2097152|     100|0.45051420|  PASSED  
# The file file_input_raw was rewound 7 times
         diehard_dna|   0|   2097152|     100|0.04366649|  PASSED  
# The file file_input_raw was rewound 7 times
diehard_count_1s_str|   0|    256000|     100|0.92745423|  PASSED  
# The file file_input_raw was rewound 8 times
diehard_count_1s_byt|   0|    256000|     100|0.74798044|  PASSED  
# The file file_input_raw was rewound 8 times
 diehard_parking_lot|   0|     12000|     100|0.82658516|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_2dsphere|   2|      8000|     100|0.48497880|  PASSED  
# The file file_input_raw was rewound 8 times
    diehard_3dsphere|   3|      4000|     100|0.41605695|  PASSED  
# The file file_input_raw was rewound 10 times
     diehard_squeeze|   0|    100000|     100|0.33639988|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_sums|   0|       100|     100|0.64900280|  PASSED  
# The file file_input_raw was rewound 10 times
        diehard_runs|   0|    100000|     100|0.93807076|  PASSED  
        diehard_runs|   0|    100000|     100|0.87902271|  PASSED  
# The file file_input_raw was rewound 12 times
       diehard_craps|   0|    200000|     100|0.31515064|  PASSED  
       diehard_craps|   0|    200000|     100|0.49049822|  PASSED  
# The file file_input_raw was rewound 31 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 31 times
         sts_monobit|   1|    100000|     100|0.34292976|  PASSED  
# The file file_input_raw was rewound 31 times
            sts_runs|   2|    100000|     100|0.65266496|  PASSED  
# The file file_input_raw was rewound 31 times
          sts_serial|   1|    100000|     100|0.29231150|  PASSED  
          sts_serial|   2|    100000|     100|0.27776916|  PASSED  
          sts_serial|   3|    100000|     100|0.42892942|  PASSED  
          sts_serial|   3|    100000|     100|0.81167971|  PASSED  
          sts_serial|   4|    100000|     100|0.97685547|  PASSED  
          sts_serial|   4|    100000|     100|0.29847788|  PASSED  
          sts_serial|   5|    100000|     100|0.16653420|  PASSED  
          sts_serial|   5|    100000|     100|0.30676139|  PASSED  
          sts_serial|   6|    100000|     100|0.81547000|  PASSED  
          sts_serial|   6|    100000|     100|0.51458665|  PASSED  
          sts_serial|   7|    100000|     100|0.81765913|  PASSED  
          sts_serial|   7|    100000|     100|0.88905265|  PASSED  
          sts_serial|   8|    100000|     100|0.42233750|  PASSED  
          sts_serial|   8|    100000|     100|0.41195459|  PASSED  
          sts_serial|   9|    100000|     100|0.36613146|  PASSED  
          sts_serial|   9|    100000|     100|0.99811858|   WEAK   
          sts_serial|  10|    100000|     100|0.81784511|  PASSED  
          sts_serial|  10|    100000|     100|0.34842477|  PASSED  
          sts_serial|  11|    100000|     100|0.43138005|  PASSED  
          sts_serial|  11|    100000|     100|0.21552757|  PASSED  
          sts_serial|  12|    100000|     100|0.33363113|  PASSED  
          sts_serial|  12|    100000|     100|0.93777866|  PASSED  
          sts_serial|  13|    100000|     100|0.60119708|  PASSED  
          sts_serial|  13|    100000|     100|0.81885297|  PASSED  
          sts_serial|  14|    100000|     100|0.84523260|  PASSED  
          sts_serial|  14|    100000|     100|0.28833617|  PASSED  
          sts_serial|  15|    100000|     100|0.55274613|  PASSED  
          sts_serial|  15|    100000|     100|0.86289659|  PASSED  
          sts_serial|  16|    100000|     100|0.95145397|  PASSED  
          sts_serial|  16|    100000|     100|0.99825863|   WEAK   
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   1|    100000|     100|0.79894116|  PASSED  
# The file file_input_raw was rewound 31 times
         rgb_bitdist|   2|    100000|     100|0.38582300|  PASSED  
# The file file_input_raw was rewound 32 times
         rgb_bitdist|   3|    100000|     100|0.14370599|  PASSED  
# The file file_input_raw was rewound 33 times
         rgb_bitdist|   4|    100000|     100|0.91657947|  PASSED  
# The file file_input_raw was rewound 34 times
         rgb_bitdist|   5|    100000|     100|0.80979226|  PASSED  
# The file file_input_raw was rewound 35 times
         rgb_bitdist|   6|    100000|     100|0.83878054|  PASSED  
# The file file_input_raw was rewound 36 times
         rgb_bitdist|   7|    100000|     100|0.99590957|   WEAK   
# The file file_input_raw was rewound 38 times
         rgb_bitdist|   8|    100000|     100|0.19595212|  PASSED  
# The file file_input_raw was rewound 39 times
         rgb_bitdist|   9|    100000|     100|0.73436373|  PASSED  
# The file file_input_raw was rewound 41 times
         rgb_bitdist|  10|    100000|     100|0.55680684|  PASSED  
# The file file_input_raw was rewound 43 times
         rgb_bitdist|  11|    100000|     100|0.84232872|  PASSED  
# The file file_input_raw was rewound 46 times
         rgb_bitdist|  12|    100000|     100|0.53472056|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   2|     10000|    1000|0.44028313|  PASSED  
# The file file_input_raw was rewound 46 times
rgb_minimum_distance|   3|     10000|    1000|0.34582459|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   4|     10000|    1000|0.54325586|  PASSED  
# The file file_input_raw was rewound 47 times
rgb_minimum_distance|   5|     10000|    1000|0.42222043|  PASSED  
# The file file_input_raw was rewound 47 times
    rgb_permutations|   2|    100000|     100|0.96393907|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   3|    100000|     100|0.64063347|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   4|    100000|     100|0.89351712|  PASSED  
# The file file_input_raw was rewound 48 times
    rgb_permutations|   5|    100000|     100|0.12288183|  PASSED  
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   0|   1000000|     100|0.94950172|  PASSED  
