# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 188
32 32 1 0  0 188
32 32 2 0  0 188
32 32 3 0  0 188
32 32 4 0  0 124
32 32 5 0  0 124
32 32 6 0  0 188
32 32 7 0  0 188
32 32 8 0  0 128
32 32 9 0  0 192
32 32 10 0  0 192
32 32 20 0  0 144
32 32 30 0  0 216
32 32 40 0  0 160
32 32 50 0  1 176
32 32 60 0  1 200
32 32 70 0  1 204
32 32 80 0  1 280
32 32 90 0  1 292
32 32 100 0  1 240
32 32 200 0  2 1756
32 32 300 0  2 1760
32 32 400 0  3 1688
32 32 500 0  4 1816
32 32 600 0  4 1844
32 32 700 0  5 1784
32 32 800 0  6 1788
32 32 900 0  7 1788
32 32 1000 0  7 1812
32 32 1500 0 10 1748
32 32 2000 0 22 2140
32 32 2500 0 31 2704
32 32 3000 0 43 3144
32 32 3500 0 46 3640
32 32 4000 0 43 4204
32 32 4500 0 50 4640
32 32 5000 0 59 5144
32 32 5500 0 85 5644
32 32 6000 0 96 6204
32 32 6500 0 81 6644
32 32 7000 0 90 7144
32 32 7500 0 99 7704
32 32 8000 0 106 8204
32 32 8500 0 116 8704
32 32 9000 0 138 9144
32 32 9500 0 145 9640
32 32 10000 0 144 10204
32 32 15000 0 285 15208
32 32 20000 0 379 20140
32 32 25000 0 475 25144
32 32 30000 0 568 30144
32 32 35000 0 705 35204
32 32 40000 0 799 40204
32 32 45000 0 894 45204
32 32 50000 0 996 50144
32 32 55000 0 1101 55204
32 32 60000 0 1192 60204
32 32 65000 0 1283 65204
32 32 70000 0 1374 70204
32 32 75000 0 1477 75204
32 32 80000 0 1551 80204
32 32 85000 0 1656 85204
32 32 90000 0 1760 90140
32 32 95000 0 1866 95144
32 32 100000 0 1931 100144
32 32 100000 0 1927 100140
32 32 150000 0 2887 150204
32 32 200000 0 3744 200208
32 32 250000 0 4630 250204
32 32 300000 0 5522 300144
32 32 350000 0 6352 350144
32 32 400000 0 7412 400204
32 32 450000 0 8200 450204
32 32 500000 0 9133 500208
32 32 550000 0 10068 550204
32 32 600000 0 10999 600140
32 32 650000 0 11977 650140
32 32 700000 0 12989 700208
32 32 750000 0 13991 750208
32 32 800000 0 15007 800204
32 32 850000 0 16040 850204
32 32 900000 0 17297 900208
32 32 950000 0 18150 950204
32 32 1000000 0 19455 1000204
