# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  3 1
32 32 1 0  3 1
32 32 2 0  3 1
32 32 3 0  3 1
32 32 4 0  3 1
32 32 5 0  3 1
32 32 6 0  3 1
32 32 7 0  3 1
32 32 8 0  3 1
32 32 9 0  3 1
32 32 10 0  5 1
32 32 20 0  5 1
32 32 30 0  6 1
32 32 40 0  7 1
32 32 50 0  7 1
32 32 60 0  8 1340
32 32 70 0  9 1436
32 32 80 0 10 1320
32 32 90 0 23 1372
32 32 100 0 18 1344
32 32 200 0 40 1380
32 32 300 0 37 1436
32 32 400 0 41 1700
32 32 500 0 51 1668
32 32 600 0 61 1932
32 32 700 0 71 1904
32 32 800 0 82 1964
32 32 900 0 91 2116
32 32 1000 0 101 2112
32 32 1500 0 151 2612
32 32 2000 0 228 3156
32 32 2500 0 279 3660
32 32 3000 0 330 4280
32 32 3500 0 362 4724
32 32 4000 0 415 4980
32 32 4500 0 469 5516
32 32 5000 0 524 6100
32 32 5500 0 579 6656
32 32 6000 0 634 7116
32 32 6500 0 689 7776
32 32 7000 0 745 8136
32 32 7500 0 798 8796
32 32 8000 0 858 9160
32 32 8500 0 908 9488
32 32 9000 0 962 10024
32 32 9500 0 1017 10536
32 32 10000 0 1126 11144
32 32 15000 0 1706 16184
32 32 20000 0 2266 21200
32 32 25000 0 2788 26108
32 32 30000 0 3317 31128
32 32 35000 0 3902 36288
32 32 40000 0 4459 41320
32 32 45000 0 5012 46212
32 32 50000 0 5582 51268
32 32 55000 0 6172 56312
32 32 60000 0 6711 61224
32 32 65000 0 7237 65968
32 32 70000 0 7803 71136
32 32 75000 0 8383 76116
32 32 80000 0 8984 81036
32 32 85000 0 9523 86012
32 32 90000 0 10069 91044
32 32 95000 0 10624 96124
32 32 100000 0 11161 101080
32 32 150000 0 16858 150960
32 32 200000 0 22418 201120
32 32 250000 0 27989 251028
32 32 300000 0 33577 301236
32 32 350000 0 39127 351112
32 32 400000 0 44775 401096
32 32 450000 0 50374 451192
32 32 500000 0 55975 501088
32 32 550000 0 61601 551368
32 32 600000 0 66479 601244
32 32 650000 0 72812 651140
32 32 700000 0 78422 701172
32 32 750000 0 84175 751200
32 32 800000 0 90019 801320
32 32 850000 0 95537 851112
32 32 900000 0 101784 901060
32 32 950000 0 106984 951220
32 32 1000000 0 115261 1001208
