# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 192
32 32 1 0  0 128
32 32 2 0  0 132
32 32 3 0  0 196
32 32 4 0  0 192
32 32 5 0  0 192
32 32 6 0  0 128
32 32 7 0  0 132
32 32 8 0  0 192
32 32 9 0  0 132
32 32 10 0  0 132
32 32 20 0  0 140
32 32 30 0  0 152
32 32 40 0  0 224
32 32 50 0  0 232
32 32 60 0  0 184
32 32 70 0  0 188
32 32 80 0  0 200
32 32 90 0  0 272
32 32 100 0  0 220
32 32 200 0  0 1628
32 32 300 0  0 1620
32 32 400 0  0 1600
32 32 500 0  0 1560
32 32 600 0  0 1624
32 32 700 0  1 1700
32 32 800 0  1 1604
32 32 900 0  1 1632
32 32 1000 0  1 1664
32 32 1500 0  1 1692
32 32 2000 0  1 2124
32 32 2500 0  2 2688
32 32 3000 0  2 3124
32 32 3500 0  2 3624
32 32 4000 0  3 4128
32 32 4500 0  3 4692
32 32 5000 0  3 5124
32 32 5500 0  4 5688
32 32 6000 0  4 6124
32 32 6500 0  4 6688
32 32 7000 0  5 7124
32 32 7500 0  5 7692
32 32 8000 0  6 8188
32 32 8500 0  6 8688
32 32 9000 0  6 9128
32 32 9500 0  8 9688
32 32 10000 0  8 10188
32 32 15000 0 11 15124
32 32 20000 0 14 20188
32 32 25000 0 18 25128
32 32 30000 0 20 30128
32 32 35000 0 26 35124
32 32 40000 0 32 40188
32 32 45000 0 37 45188
32 32 50000 0 41 50188
32 32 55000 0 46 55192
32 32 60000 0 64 60188
32 32 65000 0 84 65188
32 32 70000 0 102 70188
32 32 75000 0 103 75128
32 32 80000 0 96 80128
32 32 85000 0 116 85188
32 32 90000 0 112 90128
32 32 95000 0 114 95124
32 32 100000 0 117 100128
32 32 100000 0 121 100188
32 32 150000 0 145 150188
32 32 200000 0 268 200188
32 32 250000 0 385 250124
32 32 300000 0 449 300188
32 32 350000 0 503 350128
32 32 400000 0 547 400188
32 32 450000 0 620 450124
32 32 500000 0 668 500124
32 32 550000 0 729 550188
32 32 600000 0 750 600188
32 32 650000 0 815 650188
32 32 700000 0 863 700188
32 32 750000 0 901 750124
32 32 800000 0 960 800188
32 32 850000 0 994 850188
32 32 900000 0 1032 900188
32 32 950000 0 1087 950188
32 32 1000000 0 1119 1000128
