# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  0 1
32 32 50 0  0 1
32 32 60 0  0 1
32 32 70 0  0 1
32 32 80 0  0 1
32 32 90 0  0 1
32 32 100 0  0 1
32 32 200 0  1 1348
32 32 300 0  1 1304
32 32 400 0  1 1700
32 32 500 0  1 1572
32 32 600 0  2 1612
32 32 700 0  2 1964
32 32 800 0  2 1864
32 32 900 0  2 2120
32 32 1000 0  3 2168
32 32 1500 0  4 2628
32 32 2000 0  5 3284
32 32 2500 0  6 3748
32 32 3000 0  7 4076
32 32 3500 0  8 4440
32 32 4000 0  8 5136
32 32 4500 0  9 5544
32 32 5000 0 11 6100
32 32 5500 0 11 6720
32 32 6000 0 13 7248
32 32 6500 0 24 7624
32 32 7000 0 22 8240
32 32 7500 0 19 8680
32 32 8000 0 17 9092
32 32 8500 0 18 9620
32 32 9000 0 19 10060
32 32 9500 0 20 10508
32 32 10000 0 21 11076
32 32 15000 0 45 16160
32 32 20000 0 44 21112
32 32 25000 0 54 26088
32 32 30000 0 65 31176
32 32 35000 0 79 36168
32 32 40000 0 90 41176
32 32 45000 0 101 46320
32 32 50000 0 112 50924
32 32 55000 0 124 56028
32 32 60000 0 136 61068
32 32 65000 0 147 65988
32 32 70000 0 157 71072
32 32 75000 0 169 76024
32 32 80000 0 183 81128
32 32 85000 0 193 86064
32 32 90000 0 237 91136
32 32 95000 0 217 96212
32 32 100000 0 250 101116
32 32 100000 0 256 101128
32 32 150000 0 366 151124
32 32 200000 0 460 201284
32 32 250000 0 595 251072
32 32 300000 0 689 300924
32 32 350000 0 827 351108
32 32 400000 0 919 401004
32 32 450000 0 1039 451296
32 32 500000 0 1155 501152
32 32 550000 0 1275 550932
32 32 600000 0 1389 601132
32 32 650000 0 1506 651140
32 32 700000 0 1619 701136
32 32 750000 0 1743 751164
32 32 800000 0 1854 801108
32 32 850000 0 1972 851256
32 32 900000 0 2121 900952
32 32 950000 0 2255 951272
32 32 1000000 0 2328 1001208
