# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 132
32 32 1 0  1 132
32 32 2 0  1 196
32 32 3 0  1 136
32 32 4 0  0 132
32 32 5 0  0 132
32 32 6 0  1 136
32 32 7 0  1 132
32 32 8 0  0 196
32 32 9 0  0 136
32 32 10 0  0 196
32 32 20 0  0 208
32 32 30 0  1 152
32 32 40 0  1 228
32 32 50 0  1 236
32 32 60 0  1 184
32 32 70 0  1 256
32 32 80 0  1 268
32 32 90 0  1 276
32 32 100 0  1 288
32 32 200 0  1 1600
32 32 300 0  1 1632
32 32 400 0  1 1660
32 32 500 0  2 1644
32 32 600 0  2 1608
32 32 700 0  2 1592
32 32 800 0  2 1540
32 32 900 0  2 1556
32 32 1000 0  3 1620
32 32 1500 0  4 1644
32 32 2000 0  4 2196
32 32 2500 0  6 2692
32 32 3000 0  7 3132
32 32 3500 0  9 3628
32 32 4000 0 11 4196
32 32 4500 0 14 4628
32 32 5000 0 14 5128
32 32 5500 0 14 5628
32 32 6000 0 14 6132
32 32 6500 0 14 6692
32 32 7000 0 15 7192
32 32 7500 0 16 7632
32 32 8000 0 20 8192
32 32 8500 0 21 8692
32 32 9000 0 25 9132
32 32 9500 0 23 9692
32 32 10000 0 26 10128
32 32 15000 0 48 15128
32 32 20000 0 50 20192
32 32 25000 0 55 25132
32 32 30000 0 55 30192
32 32 35000 0 69 35192
32 32 40000 0 78 40192
32 32 45000 0 88 45128
32 32 50000 0 96 50192
32 32 55000 0 110 55132
32 32 60000 0 138 60192
32 32 65000 0 214 65128
32 32 70000 0 190 70196
32 32 75000 0 193 75128
32 32 80000 0 175 80192
32 32 85000 0 201 85132
32 32 90000 0 207 90192
32 32 95000 0 255 95132
32 32 100000 0 273 100196
32 32 100000 0 323 100192
32 32 150000 0 447 150192
32 32 200000 0 576 200192
32 32 250000 0 862 250128
32 32 300000 0 1112 300192
32 32 350000 0 1243 350132
32 32 400000 0 1397 400192
32 32 450000 0 1558 450196
32 32 500000 0 1670 500196
32 32 550000 0 1828 550192
32 32 600000 0 1929 600192
32 32 650000 0 2107 650192
32 32 700000 0 2230 700128
32 32 750000 0 2360 750132
32 32 800000 0 2455 800196
32 32 850000 0 2569 850196
32 32 900000 0 2700 900192
32 32 950000 0 2802 950192
32 32 1000000 0 2939 1000192
