# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  1 1
32 32 50 0  1 1
32 32 60 0  1 1
32 32 70 0  1 1
32 32 80 0  1 1
32 32 90 0  1 1
32 32 100 0  1 1
32 32 200 0  2 1288
32 32 300 0  2 1372
32 32 400 0  3 1576
32 32 500 0  4 1572
32 32 600 0  4 1636
32 32 700 0  5 1876
32 32 800 0  5 1820
32 32 900 0  5 1968
32 32 1000 0 10 2076
32 32 1500 0 14 2696
32 32 2000 0 16 3288
32 32 2500 0 17 3720
32 32 3000 0 18 3936
32 32 3500 0 20 4512
32 32 4000 0 24 5132
32 32 4500 0 27 5624
32 32 5000 0 30 6060
32 32 5500 0 33 6616
32 32 6000 0 36 7044
32 32 6500 0 39 7680
32 32 7000 0 42 8188
32 32 7500 0 45 8568
32 32 8000 0 48 8968
32 32 8500 0 51 9560
32 32 9000 0 54 10056
32 32 9500 0 57 10528
32 32 10000 0 60 11004
32 32 15000 0 111 16212
32 32 20000 0 147 21072
32 32 25000 0 152 26136
32 32 30000 0 183 31128
32 32 35000 0 220 36120
32 32 40000 0 248 41236
32 32 45000 0 279 46152
32 32 50000 0 312 50964
32 32 55000 0 343 55956
32 32 60000 0 377 60980
32 32 65000 0 406 66144
32 32 70000 0 436 71016
32 32 75000 0 467 76040
32 32 80000 0 499 81036
32 32 85000 0 530 86064
32 32 90000 0 562 91084
32 32 95000 0 599 96124
32 32 100000 0 626 101128
32 32 100000 0 621 101060
32 32 150000 0 973 151064
32 32 200000 0 1272 201084
32 32 250000 0 1590 251056
32 32 300000 0 1934 300932
32 32 350000 0 2251 351236
32 32 400000 0 2571 401072
32 32 450000 0 2893 451096
32 32 500000 0 3216 501192
32 32 550000 0 3548 550956
32 32 600000 0 3852 601104
32 32 650000 0 4189 651168
32 32 700000 0 4515 701188
32 32 750000 0 4841 750988
32 32 800000 0 5165 801032
32 32 850000 0 5486 851108
32 32 900000 0 5859 901016
32 32 950000 0 6139 951244
32 32 1000000 0 6466 1001076
