# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  4 5548
32 32 400 1  7 10412
32 32 600 1 23 15428
32 32 800 1 29 20184
32 32 1000 1 25 24820
32 32 1200 1 24 29688
32 32 1400 1 28 34340
32 32 1600 1 55 39192
32 32 1800 1 58 44088
32 32 2000 1 42 48848
32 32 2200 1 44 53572
32 32 2400 1 47 58464
32 32 2600 1 51 63092
32 32 2800 1 55 68228
32 32 3000 1 59 72856
32 32 3200 1 63 77608
32 32 3400 1 89 82428
32 32 3600 1 98 87120
32 32 3800 1 75 92140
32 32 4000 1 79 97004
32 32 4200 1 83 101608
32 32 4400 1 87 106508
32 32 4600 1 91 111204
32 32 4800 1 95 115960
32 32 5000 1 99 120900
32 32 5200 1 103 125780
32 32 5400 1 107 130384
32 32 5600 1 111 135168
32 32 5800 1 115 139920
32 32 6000 1 136 144940
32 32 6200 1 151 149748
32 32 6400 1 154 154496
32 32 6600 1 131 159304
32 32 6800 1 135 163940
32 32 7000 1 139 169072
32 32 7200 1 143 173712
32 32 7400 1 147 178580
32 32 7600 1 150 183280
32 32 7800 1 177 187968
32 32 8000 1 158 192704
32 32 8200 1 162 197720
32 32 8400 1 166 202604
32 32 8600 1 170 207240
32 32 8800 1 174 211968
32 32 9000 1 179 216804
32 32 9200 1 182 221780
32 32 9400 1 186 226516
32 32 9600 1 190 231244
32 32 9800 1 220 236012
32 32 10000 1 225 240884
