# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1 17 5544
32 32 400 1 25 10296
32 32 600 1 27 15308
32 32 800 1 29 20060
32 32 1000 1 35 24816
32 32 1200 1 42 29564
32 32 1400 1 52 34320
32 32 1600 1 59 39184
32 32 1800 1 67 44088
32 32 2000 1 74 48836
32 32 2200 1 82 53624
32 32 2400 1 89 58456
32 32 2600 1 97 63096
32 32 2800 1 104 68196
32 32 3000 1 134 72980
32 32 3200 1 147 77728
32 32 3400 1 126 82456
32 32 3600 1 134 87084
32 32 3800 1 141 92256
32 32 4000 1 149 96864
32 32 4200 1 176 101632
32 32 4400 1 164 106388
32 32 4600 1 171 111224
32 32 4800 1 178 115908
32 32 5000 1 185 121024
32 32 5200 1 193 125644
32 32 5400 1 200 130424
32 32 5600 1 224 135160
32 32 5800 1 244 139928
32 32 6000 1 223 144920
32 32 6200 1 259 149684
32 32 6400 1 238 154432
32 32 6600 1 245 159164
32 32 6800 1 252 163932
32 32 7000 1 259 169068
32 32 7200 1 267 173820
32 32 7400 1 303 178520
32 32 7600 1 282 183180
32 32 7800 1 289 187980
32 32 8000 1 325 192716
32 32 8200 1 304 197696
32 32 8400 1 312 202600
32 32 8600 1 319 207236
32 32 8800 1 332 211988
32 32 9000 1 334 216740
32 32 9200 1 342 221840
32 32 9400 1 349 226500
32 32 9600 1 357 231224
32 32 9800 1 367 236128
32 32 10000 1 372 240736
