# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  5 1764
32 32 500 10 20 1820
32 32 500 20 37 1764
32 32 500 30 76 1760
32 32 500 40 68 1792
32 32 500 50 109 1792
32 32 500 60 140 1772
32 32 500 70 156 1812
32 32 500 80 174 1812
32 32 500 90 170 1840
32 32 500 100 199 1756
32 32 500 110 239 1812
32 32 500 120 256 1680
32 32 500 130 274 1748
32 32 500 140 302 1812
32 32 500 150 327 1764
32 32 500 160 332 1792
32 32 500 170 361 1772
32 32 500 180 400 1760
32 32 500 190 430 1804
32 32 500 200 397 1840
32 32 500 210 462 1760
32 32 500 220 497 1840
32 32 500 230 505 1748
32 32 500 240 490 1776
32 32 500 250 544 1816
32 32 500 260 580 1812
