# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0 77 1568
32 32 500 10 163 1600
32 32 500 20 302 1536
32 32 500 30 441 1704
32 32 500 40 581 1500
32 32 500 50 720 1608
32 32 500 60 860 1504
32 32 500 70 999 1500
32 32 500 80 1138 1532
32 32 500 90 1277 1532
32 32 500 100 1417 1700
32 32 500 110 1557 1644
32 32 500 120 1695 1572
32 32 500 130 1835 1704
32 32 500 140 1980 1572
32 32 500 150 2118 1608
32 32 500 160 2252 1704
32 32 500 170 2392 1612
32 32 500 180 2531 1532
32 32 500 190 2671 1536
32 32 500 200 2811 1572
32 32 500 210 2949 1500
32 32 500 220 3089 1668
32 32 500 230 3229 1584
32 32 500 240 3368 1568
32 32 500 250 3515 1640
32 32 500 260 3655 1572
