# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  1 1616
32 32 500 10  4 1560
32 32 500 20  8 1640
32 32 500 30 11 1592
32 32 500 40 12 1632
32 32 500 50 14 1696
32 32 500 60 16 1560
32 32 500 70 20 1544
32 32 500 80 22 1600
32 32 500 90 23 1644
32 32 500 100 27 1592
32 32 500 110 28 1608
32 32 500 120 30 1620
32 32 500 130 50 1628
32 32 500 140 40 1620
32 32 500 150 39 1608
32 32 500 160 41 1616
32 32 500 170 47 1628
32 32 500 180 46 1668
32 32 500 190 48 1548
32 32 500 200 51 1620
32 32 500 210 54 1560
32 32 500 220 56 1600
32 32 500 230 59 1608
32 32 500 240 61 1620
32 32 500 250 64 1652
