# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  2 1636
32 32 500 10 15 1696
32 32 500 20 24 1696
32 32 500 30 28 1612
32 32 500 40 36 1500
32 32 500 50 45 1564
32 32 500 60 54 1572
32 32 500 70 92 1568
32 32 500 80 95 1696
32 32 500 90 81 1700
32 32 500 100 90 1556
32 32 500 110 100 1700
32 32 500 120 131 1552
32 32 500 130 118 1700
32 32 500 140 126 1500
32 32 500 150 136 1636
32 32 500 160 144 1612
32 32 500 170 153 1584
32 32 500 180 162 1572
32 32 500 190 172 1696
32 32 500 200 180 1548
32 32 500 210 190 1576
32 32 500 220 197 1560
32 32 500 230 228 1496
32 32 500 240 220 1548
32 32 500 250 225 1560
