# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  2 1556
32 32 500 10  5 1624
32 32 500 20  9 1608
32 32 500 30 11 1652
32 32 500 40 13 1604
32 32 500 50 15 1660
32 32 500 60 16 1660
32 32 500 70 19 1660
32 32 500 80 22 1608
32 32 500 90 25 1676
32 32 500 100 27 1624
32 32 500 110 30 1628
32 32 500 120 34 1688
32 32 500 130 35 1624
32 32 500 140 41 1668
32 32 500 150 41 1624
32 32 500 160 43 1612
32 32 500 170 47 1624
32 32 500 180 49 1652
32 32 500 190 53 1616
32 32 500 200 54 1636
32 32 500 210 57 1516
32 32 500 220 60 1552
32 32 500 230 62 1612
32 32 500 240 64 1616
32 32 500 250 67 1632
32 32 500 260  1 1560
