# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  3 1700
32 32 500 10 10 1608
32 32 500 20 28 1596
32 32 500 30 51 1588
32 32 500 40 63 1640
32 32 500 50 49 1636
32 32 500 60 55 1572
32 32 500 70 65 1532
32 32 500 80 73 1600
32 32 500 90 82 1596
32 32 500 100 92 1608
32 32 500 110 101 1592
32 32 500 120 111 1724
32 32 500 130 119 1696
32 32 500 140 128 1636
32 32 500 150 137 1548
32 32 500 160 147 1564
32 32 500 170 155 1608
32 32 500 180 165 1664
32 32 500 190 173 1696
32 32 500 200 182 1632
32 32 500 210 220 1536
32 32 500 220 201 1640
32 32 500 230 210 1564
32 32 500 240 220 1700
32 32 500 250 228 1496
32 32 500 260 266 1532
