# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 100 1000 731 3152
32 32 100 2000 1420 3172
32 32 100 1000 723 3292
32 32 100 2000 1422 3188
32 32 100 3000 2100 3168
32 32 100 4000 2802 3176
32 32 100 5000 3538 3292
32 32 100 6000 4229 3176
32 32 100 7000 4902 3180
32 32 100 8000 5604 3292
32 32 100 9000 6338 3148
32 32 100 10000 7077 3176
32 32 100 11000 7727 3148
32 32 100 12000 8429 3156
32 32 100 13000 9122 3292
32 32 100 14000 9859 3176
32 32 100 15000 10554 3140
32 32 100 16000 11219 3292
32 32 100 17000 11956 3292
32 32 100 18000 12649 3176
32 32 100 19000 13332 3176
32 32 100 20000 14070 3296
