# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 100 0
32 32 100 1000 1588 3156
32 32 100 2000 3179 3280
32 32 100 3000 4774 3232
32 32 100 4000 6383 3168
32 32 100 5000 7988 3172
32 32 100 6000 9544 3144
32 32 100 7000 11106 3280
32 32 100 8000 12711 3172
32 32 100 9000 14279 3284
32 32 100 10000 15896 3160
32 32 100 11000 17502 3228
32 32 100 12000 19417 3156
32 32 100 13000 20629 3164
32 32 100 14000 22250 3160
32 32 100 15000 23842 3144
32 32 100 16000 25530 3136
32 32 100 17000 27094 3168
32 32 100 18000 28573 3280
32 32 100 19000 30193 3172
32 32 100 20000 31742 3228
