# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0 19 8996
32 32 10 10 67 8996
32 32 10 20 100 8992
32 32 10 30 149 8996
32 32 10 40 198 9124
32 32 10 50 248 9040
32 32 10 60 297 8996
32 32 10 70 346 9000
32 32 10 80 395 9004
32 32 10 90 444 9088
32 32 10 100 493 9120
32 32 10 110 543 9136
32 32 10 120 595 9160
32 32 10 130 641 9156
32 32 10 140 689 9000
32 32 10 150 762 9000
32 32 10 160 817 9132
32 32 10 170 837 8996
32 32 10 180 887 9056
32 32 10 190 954 9132
32 32 10 200 1008 9056
32 32 10 210 1058 9004
32 32 10 220 1093 9084
32 32 10 230 1143 9120
32 32 10 240 1193 9124
32 32 10 250 1241 9060
32 32 10 260 1291 9040
32 32 10 270 1342 9092
32 32 10 280 1392 9040
32 32 10 290 1445 9000
32 32 10 300 1489 9024
