# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0 55 9072
32 32 10 10 253 8976
32 32 10 20 449 9004
32 32 10 30 673 9100
32 32 10 40 896 9124
32 32 10 50 1121 9016
32 32 10 60 1373 9104
32 32 10 70 1574 9136
32 32 10 80 1800 8972
32 32 10 90 2026 9004
32 32 10 100 2248 8968
32 32 10 110 2495 8976
32 32 10 120 2720 9004
32 32 10 130 2915 8976
32 32 10 140 3145 9116
32 32 10 150 3371 8972
32 32 10 160 3594 9076
32 32 10 170 3818 8968
32 32 10 180 4051 9064
32 32 10 190 4276 8976
32 32 10 200 4501 9124
32 32 10 210 4726 8980
32 32 10 220 4952 9068
32 32 10 230 5176 9112
32 32 10 240 5407 8976
32 32 10 250 5626 8976
32 32 10 260 5851 9036
32 32 10 270 6094 8976
32 32 10 280 6325 9004
32 32 10 290 6524 9016
32 32 10 300 6752 8976
