# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 1
32 32 1 0  1 1
32 32 2 0  1 1
32 32 3 0  1 1
32 32 4 0  1 1
32 32 5 0  1 1
32 32 6 0  1 1
32 32 7 0  1 1
32 32 8 0  2 1
32 32 9 0  2 1
32 32 10 0  2 1
32 32 20 0  3 1
32 32 30 0  3 1
32 32 40 0  4 1
32 32 50 0  5 1496
32 32 60 0  6 1444
32 32 70 0  7 1448
32 32 80 0  8 1504
32 32 90 0  9 1408
32 32 100 0 10 1508
32 32 200 0 19 1404
32 32 300 0 28 1516
32 32 400 0 38 1688
32 32 500 0 47 1772
32 32 600 0 56 1952
32 32 700 0 65 2044
32 32 800 0 81 2020
32 32 900 0 90 2200
32 32 1000 0 95 2308
32 32 1500 0 142 2828
32 32 2000 0 190 3352
32 32 2500 0 238 3896
32 32 3000 0 285 4408
32 32 3500 0 334 4804
32 32 4000 0 384 5052
32 32 4500 0 453 5740
32 32 5000 0 484 6268
32 32 5500 0 533 6636
32 32 6000 0 589 7232
32 32 6500 0 637 7744
32 32 7000 0 688 8372
32 32 7500 0 740 8872
32 32 8000 0 790 9428
32 32 8500 0 869 9960
32 32 9000 0 893 10224
32 32 9500 0 948 10744
32 32 10000 0 997 11248
32 32 15000 0 1509 16296
32 32 20000 0 2024 21268
32 32 25000 0 2538 26324
32 32 30000 0 3143 31260
32 32 35000 0 3583 36360
32 32 40000 0 4096 41376
32 32 45000 0 4614 46376
32 32 50000 0 5133 51360
32 32 55000 0 5672 56428
32 32 60000 0 6167 61276
32 32 65000 0 6676 66368
32 32 70000 0 7313 71180
32 32 75000 0 7740 76120
32 32 80000 0 8273 81232
32 32 85000 0 8760 86256
32 32 90000 0 9285 91164
32 32 95000 0 9804 96280
32 32 100000 0 10303 101296
32 32 150000 0 15398 151356
32 32 200000 0 20546 201368
32 32 250000 0 25668 251260
32 32 300000 0 30887 301412
32 32 350000 0 35986 351284
32 32 400000 0 41457 401196
32 32 450000 0 46835 451256
32 32 500000 0 51985 501260
32 32 550000 0 57182 551376
32 32 600000 0 62110 601320
32 32 650000 0 67177 651212
32 32 700000 0 72487 701380
32 32 750000 0 77642 751164
32 32 800000 0 83340 801424
32 32 850000 0 87890 851312
32 32 900000 0 93972 901224
32 32 950000 0 98424 951384
32 32 1000000 0 103719 1001232
