# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  0 1
32 32 50 0  0 1
32 32 60 0  0 1
32 32 70 0  0 1
32 32 80 0  0 1
32 32 90 0  0 1
32 32 100 0  0 1
32 32 200 0  0 1356
32 32 300 0  1 1500
32 32 400 0  1 1728
32 32 500 0  1 1772
32 32 600 0  1 1624
32 32 700 0  1 1884
32 32 800 0  1 1876
32 32 900 0  2 2272
32 32 1000 0  2 2272
32 32 1500 0  3 2828
32 32 2000 0  4 3352
32 32 2500 0  4 3880
32 32 3000 0  5 4412
32 32 3500 0  6 4668
32 32 4000 0  7 5204
32 32 4500 0  8 5628
32 32 5000 0  9 6104
32 32 5500 0 10 6744
32 32 6000 0 11 7232
32 32 6500 0 12 7840
32 32 7000 0 13 8288
32 32 7500 0 13 8856
32 32 8000 0 15 9120
32 32 8500 0 16 9684
32 32 9000 0 17 10228
32 32 9500 0 18 10740
32 32 10000 0 18 11120
32 32 15000 0 28 16192
32 32 20000 0 37 21300
32 32 25000 0 47 26176
32 32 30000 0 57 31336
32 32 35000 0 70 36224
32 32 40000 0 80 41240
32 32 45000 0 90 46384
32 32 50000 0 101 51408
32 32 55000 0 111 56000
32 32 60000 0 122 61184
32 32 65000 0 133 66160
32 32 70000 0 142 71212
32 32 75000 0 153 76216
32 32 80000 0 161 81132
32 32 85000 0 171 86240
32 32 90000 0 181 91120
32 32 95000 0 206 96208
32 32 100000 0 208 101304
32 32 100000 0 202 101260
32 32 150000 0 306 151180
32 32 200000 0 411 201352
32 32 250000 0 508 251240
32 32 300000 0 617 301404
32 32 350000 0 731 351144
32 32 400000 0 827 401200
32 32 450000 0 947 451216
32 32 500000 0 1038 501256
32 32 550000 0 1125 551152
32 32 600000 0 1232 601324
32 32 650000 0 1357 651200
32 32 700000 0 1463 701372
32 32 750000 0 1592 751188
32 32 800000 0 1653 801168
32 32 850000 0 1850 851332
32 32 900000 0 1888 901224
32 32 950000 0 2003 951276
32 32 1000000 0 2106 1001272
