# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 140
32 32 1 0  0 136
32 32 2 0  0 140
32 32 3 0  0 72
32 32 4 0  0 132
32 32 5 0  0 72
32 32 6 0  0 136
32 32 7 0  0 136
32 32 8 0  0 140
32 32 9 0  0 72
32 32 10 0  0 72
32 32 20 0  0 148
32 32 30 0  0 92
32 32 40 0  0 168
32 32 50 0  0 176
32 32 60 0  0 124
32 32 70 0  0 132
32 32 80 0  0 208
32 32 90 0  0 152
32 32 100 0  0 228
32 32 200 0  1 1748
32 32 300 0  1 1736
32 32 400 0  1 1640
32 32 500 0  1 1688
32 32 600 0  1 1680
32 32 700 0  1 1640
32 32 800 0  1 1696
32 32 900 0  1 1744
32 32 1000 0  2 1692
32 32 1500 0  3 1728
32 32 2000 0  3 2068
32 32 2500 0  4 2568
32 32 3000 0  5 3132
32 32 3500 0  5 3628
32 32 4000 0  7 4128
32 32 4500 0  8 4632
32 32 5000 0  9 5128
32 32 5500 0 10 5628
32 32 6000 0 11 6068
32 32 6500 0 12 6632
32 32 7000 0 13 7068
32 32 7500 0 14 7632
32 32 8000 0 15 8068
32 32 8500 0 16 8568
32 32 9000 0 17 9132
32 32 9500 0 18 9636
32 32 10000 0 19 10128
32 32 15000 0 28 15068
32 32 20000 0 38 20132
32 32 25000 0 49 25068
32 32 30000 0 58 30132
32 32 35000 0 70 35068
32 32 40000 0 81 40128
32 32 45000 0 91 45068
32 32 50000 0 101 50132
32 32 55000 0 113 55068
32 32 60000 0 123 60132
32 32 65000 0 133 65068
32 32 70000 0 142 70132
32 32 75000 0 153 75128
32 32 80000 0 164 80132
32 32 85000 0 174 85068
32 32 90000 0 185 90132
32 32 95000 0 196 95132
32 32 100000 0 206 100132
32 32 100000 0 206 100068
32 32 150000 0 315 150132
32 32 200000 0 423 200132
32 32 250000 0 531 250132
32 32 300000 0 643 300132
32 32 350000 0 751 350132
32 32 400000 0 864 400068
32 32 450000 0 971 450132
32 32 500000 0 1086 500132
32 32 550000 0 1197 550132
32 32 600000 0 1307 600132
32 32 650000 0 1369 650068
32 32 700000 0 1474 700132
32 32 750000 0 1585 750068
32 32 800000 0 1695 800132
32 32 850000 0 1800 850132
32 32 900000 0 1906 900132
32 32 950000 0 2013 950132
32 32 1000000 0 2127 1000068
