# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  0 1
32 32 50 0  0 1
32 32 60 0  1 1
32 32 70 0  0 1
32 32 80 0  1 1
32 32 90 0  1 1
32 32 100 0  1 1
32 32 200 0  1 1372
32 32 300 0  1 1496
32 32 400 0  2 1776
32 32 500 0  2 1792
32 32 600 0  3 1636
32 32 700 0  3 1900
32 32 800 0  4 2032
32 32 900 0  4 2296
32 32 1000 0  5 2148
32 32 1500 0  7 2820
32 32 2000 0  9 3328
32 32 2500 0 11 3884
32 32 3000 0 14 4152
32 32 3500 0 16 4648
32 32 4000 0 19 5208
32 32 4500 0 21 5596
32 32 5000 0 24 6108
32 32 5500 0 27 6796
32 32 6000 0 31 7312
32 32 6500 0 32 7852
32 32 7000 0 35 8344
32 32 7500 0 38 8840
32 32 8000 0 40 9148
32 32 8500 0 43 9664
32 32 9000 0 46 10224
32 32 9500 0 48 10748
32 32 10000 0 51 11120
32 32 15000 0 77 16248
32 32 20000 0 105 21248
32 32 25000 0 131 26164
32 32 30000 0 157 31340
32 32 35000 0 186 36208
32 32 40000 0 215 41380
32 32 45000 0 245 46388
32 32 50000 0 270 51400
32 32 55000 0 299 56052
32 32 60000 0 328 61036
32 32 65000 0 355 66196
32 32 70000 0 390 71124
32 32 75000 0 413 76220
32 32 80000 0 438 81240
32 32 85000 0 470 86148
32 32 90000 0 497 91256
32 32 95000 0 529 96152
32 32 100000 0 550 101220
32 32 100000 0 555 101312
32 32 150000 0 829 151188
32 32 200000 0 1114 201196
32 32 250000 0 1385 251264
32 32 300000 0 1670 301072
32 32 350000 0 1946 351172
32 32 400000 0 2238 401188
32 32 450000 0 2537 451336
32 32 500000 0 2797 501248
32 32 550000 0 3083 551164
32 32 600000 0 3368 601308
32 32 650000 0 3698 651112
32 32 700000 0 3926 701220
32 32 750000 0 4220 751272
32 32 800000 0 4649 801136
32 32 850000 0 4968 851296
32 32 900000 0 5177 901200
32 32 950000 0 5585 951388
32 32 1000000 0 5828 1001196
