# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 1
32 32 2 1  0 1
32 32 3 1  0 1
32 32 4 1  0 1
32 32 5 1  0 1
32 32 6 1  0 1
32 32 7 1  0 1
32 32 8 1  0 1
32 32 9 1  0 1
32 32 10 1  1 1
32 32 11 1  2 1196
32 32 12 1  4 1132
32 32 13 1  8 1720
32 32 14 1 17 2468
32 32 15 1 36 4052
32 32 16 1 80 7000
32 32 17 1 176 13340
32 32 18 1 363 25492
32 32 19 1 767 50280
32 32 20 1 1604 99432
32 32 21 1 3695 197472
32 32 22 1 7791 394084
32 32 23 1 16270 787272
32 32 24 1 34043 1573704
