# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 1
32 32 2 1  0 1
32 32 3 1  0 1
32 32 4 1  0 1
32 32 5 1  0 1
32 32 6 1  0 1
32 32 7 1  0 1
32 32 8 1  0 1
32 32 9 1  0 1
32 32 10 1  0 1
32 32 11 1  0 1
32 32 12 1  0 1220
32 32 13 1  1 1396
32 32 14 1  1 1988
32 32 15 1  3 3044
32 32 16 1  7 5092
32 32 17 1 18 9144
32 32 18 1 39 17292
32 32 19 1 88 33608
32 32 20 1 172 66384
32 32 21 1 369 132092
32 32 22 1 763 263080
32 32 23 1 1539 525120
32 32 24 1 3041 1049336
