# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  4 5744
32 32 400 1  9 10440
32 32 600 1 14 15512
32 32 800 1 16 20264
32 32 1000 1 24 25020
32 32 1200 1 28 29716
32 32 1400 1 31 34464
32 32 1600 1 35 39540
32 32 1800 1 39 44236
32 32 2000 1 44 48988
32 32 2200 1 48 53748
32 32 2400 1 53 58492
32 32 2600 1 57 63272
32 32 2800 1 68 68308
32 32 3000 1 66 73036
32 32 3200 1 72 77808
32 32 3400 1 81 82516
32 32 3600 1 82 87260
32 32 3800 1 86 92272
32 32 4000 1 94 97032
32 32 4200 1 99 101816
32 32 4400 1 104 106572
32 32 4600 1 107 111276
32 32 4800 1 106 116060
32 32 5000 1 112 121108
32 32 5200 1 115 125824
32 32 5400 1 119 130548
32 32 5600 1 123 135372
32 32 5800 1 128 140056
32 32 6000 1 132 145076
32 32 6200 1 137 149864
32 32 6400 1 141 154640
32 32 6600 1 145 159328
32 32 6800 1 150 164140
32 32 7000 1 154 169128
32 32 7200 1 159 173864
32 32 7400 1 163 178660
32 32 7600 1 167 183400
32 32 7800 1 172 188100
32 32 8000 1 182 193116
32 32 8200 1 182 197888
32 32 8400 1 188 202632
32 32 8600 1 191 207384
32 32 8800 1 198 212180
32 32 9000 1 203 216884
32 32 9200 1 208 221900
32 32 9400 1 207 226696
32 32 9600 1 223 231408
32 32 9800 1 217 236236
32 32 10000 1 225 240912
