# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  7 5680
32 32 400 1 13 10460
32 32 600 1 19 15484
32 32 800 1 27 20240
32 32 1000 1 34 24984
32 32 1200 1 41 29736
32 32 1400 1 48 34524
32 32 1600 1 58 39488
32 32 1800 1 67 44228
32 32 2000 1 75 48980
32 32 2200 1 80 53736
32 32 2400 1 84 58544
32 32 2600 1 93 63296
32 32 2800 1 96 68272
32 32 3000 1 107 73016
32 32 3200 1 113 77812
32 32 3400 1 125 82512
32 32 3600 1 131 87256
32 32 3800 1 131 92284
32 32 4000 1 139 97084
32 32 4200 1 146 101860
32 32 4400 1 151 106588
32 32 4600 1 159 111332
32 32 4800 1 166 116032
32 32 5000 1 170 121056
32 32 5200 1 179 125796
32 32 5400 1 186 130596
32 32 5600 1 191 135364
32 32 5800 1 198 140116
32 32 6000 1 204 145116
32 32 6200 1 211 149832
32 32 6400 1 226 154616
32 32 6600 1 227 159336
32 32 6800 1 232 164124
32 32 7000 1 241 169100
32 32 7200 1 249 173908
32 32 7400 1 253 178628
32 32 7600 1 260 183376
32 32 7800 1 266 188124
32 32 8000 1 277 192856
32 32 8200 1 305 197928
32 32 8400 1 312 202684
32 32 8600 1 319 207424
32 32 8800 1 326 212160
32 32 9000 1 347 216920
32 32 9200 1 340 221892
32 32 9400 1 347 226692
32 32 9600 1 358 231340
32 32 9800 1 368 236152
32 32 10000 1 369 240952
