# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  3 1848
32 32 500 10 13 1864
32 32 500 20 25 1868
32 32 500 30 37 1820
32 32 500 40 49 1868
32 32 500 50 63 1864
32 32 500 60 74 1880
32 32 500 70 85 1864
32 32 500 80 99 1832
32 32 500 90 109 1876
32 32 500 100 122 1772
32 32 500 110 135 1836
32 32 500 120 145 1868
32 32 500 130 159 1772
32 32 500 140 171 1836
32 32 500 150 183 1916
32 32 500 160 195 1888
32 32 500 170 208 1876
32 32 500 180 222 1916
32 32 500 190 230 1836
32 32 500 200 242 1824
32 32 500 210 259 1868
32 32 500 220 268 1824
32 32 500 230 281 1820
32 32 500 240 292 1848
32 32 500 250 303 1772
32 32 500 260 317 1772
