# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0 46 1728
32 32 500 10 152 1776
32 32 500 20 280 1768
32 32 500 30 413 1616
32 32 500 40 545 1768
32 32 500 50 672 1760
32 32 500 60 808 1728
32 32 500 70 935 1620
32 32 500 80 1066 1612
32 32 500 90 1196 1760
32 32 500 100 1325 1744
32 32 500 110 1461 1672
32 32 500 120 1592 1688
32 32 500 130 1717 1772
32 32 500 140 1847 1772
32 32 500 150 1981 1780
32 32 500 160 2131 1624
32 32 500 170 2245 1688
32 32 500 180 2370 1756
32 32 500 190 2503 1668
32 32 500 200 2632 1768
32 32 500 210 2760 1776
32 32 500 220 2892 1756
32 32 500 230 3022 1728
32 32 500 240 3155 1624
32 32 500 250 3282 1768
32 32 500 260 3558 1760
