# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  1 1728
32 32 500 10  8 1732
32 32 500 20 15 1772
32 32 500 30 22 1768
32 32 500 40 30 1636
32 32 500 50 37 1784
32 32 500 60 44 1696
32 32 500 70 53 1744
32 32 500 80 59 1780
32 32 500 90 67 1768
32 32 500 100 74 1620
32 32 500 110 82 1780
32 32 500 120 89 1772
32 32 500 130 95 1772
32 32 500 140 102 1624
32 32 500 150 111 1668
32 32 500 160 118 1776
32 32 500 170 125 1640
32 32 500 180 132 1768
32 32 500 190 139 1752
32 32 500 200 149 1772
32 32 500 210 155 1772
32 32 500 220 165 1772
32 32 500 230 170 1728
32 32 500 240 177 1780
32 32 500 250 184 1784
