# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  1 1680
32 32 500 10  3 1680
32 32 500 20  5 1692
32 32 500 30  8 1672
32 32 500 40 11 1700
32 32 500 50 13 1736
32 32 500 60 16 1728
32 32 500 70 19 1688
32 32 500 80 22 1772
32 32 500 90 24 1748
32 32 500 100 27 1772
32 32 500 110 30 1640
32 32 500 120 32 1776
32 32 500 130 35 1728
32 32 500 140 38 1728
32 32 500 150 40 1728
32 32 500 160 43 1680
32 32 500 170 45 1760
32 32 500 180 49 1748
32 32 500 190 51 1772
32 32 500 200 54 1776
32 32 500 210 57 1776
32 32 500 220 59 1732
32 32 500 230 62 1696
32 32 500 240 64 1724
32 32 500 250 67 1724
32 32 500 260 70 1736
