# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  3 1780
32 32 500 10  8 1776
32 32 500 20 16 1760
32 32 500 30 23 1768
32 32 500 40 30 1636
32 32 500 50 37 1636
32 32 500 60 52 1636
32 32 500 70 52 1776
32 32 500 80 62 1776
32 32 500 90 67 1776
32 32 500 100 75 1620
32 32 500 110 82 1668
32 32 500 120 89 1668
32 32 500 130 96 1640
32 32 500 140 104 1620
32 32 500 150 112 1780
32 32 500 160 118 1672
32 32 500 170 126 1624
32 32 500 180 133 1748
32 32 500 190 141 1744
32 32 500 200 149 1768
32 32 500 210 156 1764
32 32 500 220 163 1780
32 32 500 230 171 1688
32 32 500 240 179 1776
32 32 500 250 186 1692
32 32 500 260 192 1668
