# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 100 0
32 32 100 1000 765 3308
32 32 100 2000 1519 3364
32 32 100 3000 2279 3368
32 32 100 4000 3036 3324
32 32 100 5000 3802 3352
32 32 100 6000 4563 3360
32 32 100 7000 5318 3308
32 32 100 8000 6074 3344
32 32 100 9000 6834 3344
32 32 100 10000 7583 3368
32 32 100 11000 8333 3320
32 32 100 12000 9106 3312
32 32 100 13000 9862 3304
32 32 100 14000 10604 3312
32 32 100 15000 11396 3320
32 32 100 16000 12142 3352
32 32 100 17000 12900 3368
32 32 100 18000 13658 3372
32 32 100 19000 14431 3368
32 32 100 20000 15165 3312
