# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 1
32 32 0 10000 29 1
32 32 0 20000 31 1
32 32 0 30000 46 1
32 32 0 40000 61 1
32 32 0 50000 76 1
32 32 0 60000 91 1
32 32 0 70000 106 1
32 32 0 80000 122 1
32 32 0 90000 137 1
32 32 0 100000 152 1
32 32 0 110000 167 1
32 32 0 120000 182 1
32 32 0 130000 197 1
32 32 0 140000 213 1
32 32 0 150000 228 1
32 32 0 160000 243 1
32 32 0 170000 258 1
32 32 0 180000 273 1
32 32 0 190000 288 1
32 32 0 200000 303 1
32 32 0 210000 319 1
32 32 0 220000 335 1
32 32 0 230000 349 1
32 32 0 240000 364 1
32 32 0 250000 379 1
32 32 0 260000 394 1
32 32 0 270000 409 1
32 32 0 280000 424 1
32 32 0 290000 440 1
32 32 0 300000 455 1
