# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0  8 9140
32 32 10 10 46 9136
32 32 10 20 92 9136
32 32 10 30 138 9076
32 32 10 40 181 9072
32 32 10 50 224 9136
32 32 10 60 268 9140
32 32 10 70 313 9080
32 32 10 80 357 9140
32 32 10 90 402 9108
32 32 10 100 446 9164
32 32 10 110 515 9148
32 32 10 120 537 9156
32 32 10 130 579 9072
32 32 10 140 623 9140
32 32 10 150 762 9144
32 32 10 160 713 9148
32 32 10 170 758 9152
32 32 10 180 801 9096
32 32 10 190 847 9120
32 32 10 200 984 9136
32 32 10 210 934 9132
32 32 10 220 978 9096
32 32 10 230 1029 9132
32 32 10 240 1074 9140
32 32 10 250 1112 9112
32 32 10 260 1156 9072
32 32 10 270 1204 9112
32 32 10 280 1250 9120
32 32 10 290 1289 9076
32 32 10 300 1336 9076
