# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0 18 9084
32 32 10 10 122 9104
32 32 10 20 266 9120
32 32 10 30 362 9104
32 32 10 40 523 9052
32 32 10 50 601 9120
32 32 10 60 718 9056
32 32 10 70 838 9112
32 32 10 80 958 9112
32 32 10 90 1076 9104
32 32 10 100 1197 9104
32 32 10 110 1315 9104
32 32 10 120 1435 9072
32 32 10 130 1554 9096
32 32 10 140 1673 9084
32 32 10 150 1823 9116
32 32 10 160 2021 9060
32 32 10 170 2070 9124
32 32 10 180 2187 9112
32 32 10 190 2324 9112
32 32 10 200 2433 9132
32 32 10 210 2543 9096
32 32 10 220 2661 9116
32 32 10 230 2796 9076
32 32 10 240 2905 9084
32 32 10 250 3070 9060
32 32 10 260 3147 9076
32 32 10 270 3268 9060
32 32 10 280 3396 9052
32 32 10 290 3521 9052
32 32 10 300 3634 9104
