# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  5 1
32 32 1 0  5 1
32 32 2 0  6 1
32 32 3 0  5 1
32 32 4 0  5 1
32 32 5 0  5 1
32 32 6 0  5 1
32 32 7 0  5 1
32 32 8 0  6 1
32 32 9 0  6 1
32 32 10 0  6 1
32 32 20 0  8 1
32 32 30 0  9 1
32 32 40 0 11 1
32 32 50 0 12 1
32 32 60 0 29 1
32 32 70 0 15 1
32 32 80 0 17 1
32 32 90 0 18 1
32 32 100 0 20 1
32 32 200 0 35 1920
32 32 300 0 51 1920
32 32 400 0 66 1920
32 32 500 0 81 1920
32 32 600 0 97 2496
32 32 700 0 112 2496
32 32 800 0 128 2496
32 32 900 0 144 2496
32 32 1000 0 160 2496
32 32 1500 0 236 2432
32 32 2000 0 313 2496
32 32 2500 0 392 2496
32 32 3000 0 469 2496
32 32 3500 0 546 2880
32 32 4000 0 625 3392
32 32 4500 0 703 3904
32 32 5000 0 776 6720
32 32 5500 0 858 6720
32 32 6000 0 933 6720
32 32 6500 0 1013 8448
32 32 7000 0 1092 8960
32 32 7500 0 1169 9472
32 32 8000 0 1249 9984
32 32 8500 0 1330 10432
32 32 9000 0 1406 10944
32 32 9500 0 1485 11456
32 32 10000 0 1566 11968
32 32 15000 0 2366 16960
32 32 20000 0 3175 21952
32 32 25000 0 3974 26944
32 32 30000 0 4785 31936
32 32 35000 0 5595 36928
32 32 40000 0 6403 41984
32 32 45000 0 7257 46976
32 32 50000 0 8107 51968
32 32 55000 0 8956 56960
32 32 60000 0 9783 61952
32 32 65000 0 10614 66944
32 32 70000 0 11445 71936
32 32 75000 0 12286 76928
32 32 80000 0 13115 81984
32 32 85000 0 13968 86976
32 32 90000 0 14785 91968
32 32 95000 0 15626 96960
32 32 100000 0 16483 101952
32 32 150000 0 24885 151936
32 32 200000 0 33300 201984
32 32 250000 0 41795 251968
32 32 300000 0 50353 301952
32 32 350000 0 58735 351936
32 32 400000 0 67134 401984
32 32 450000 0 75642 451968
32 32 500000 0 84092 501952
32 32 550000 0 92622 551936
32 32 600000 0 101153 601984
32 32 650000 0 109773 651968
32 32 700000 0 118269 701952
32 32 750000 0 126665 751936
32 32 800000 0 135197 801984
32 32 850000 0 144022 851968
32 32 900000 0 152520 901952
32 32 950000 0 160967 951936
32 32 1000000 0 169412 1001984
