# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 1
32 32 1 0  0 1
32 32 2 0  0 1
32 32 3 0  0 1
32 32 4 0  0 1
32 32 5 0  0 1
32 32 6 0  0 1
32 32 7 0  0 1
32 32 8 0  0 1
32 32 9 0  0 1
32 32 10 0  0 1
32 32 20 0  0 1
32 32 30 0  0 1
32 32 40 0  0 1
32 32 50 0  0 1
32 32 60 0  0 1
32 32 70 0  0 1
32 32 80 0  0 1
32 32 90 0  1 1
32 32 100 0  0 1
32 32 200 0  1 1856
32 32 300 0  1 1856
32 32 400 0  1 1856
32 32 500 0  1 1856
32 32 600 0  2 1856
32 32 700 0  2 2496
32 32 800 0  6 2496
32 32 900 0  2 2496
32 32 1000 0  3 2496
32 32 1500 0  4 2496
32 32 2000 0  5 2496
32 32 2500 0  7 2496
32 32 3000 0  8 2496
32 32 3500 0  9 2496
32 32 4000 0 16 2496
32 32 4500 0 12 3456
32 32 5000 0 13 6656
32 32 5500 0 14 6720
32 32 6000 0 16 6720
32 32 6500 0 17 6720
32 32 7000 0 18 6720
32 32 7500 0 19 6720
32 32 8000 0 21 6720
32 32 8500 0 22 6720
32 32 9000 0 23 6656
32 32 9500 0 25 10944
32 32 10000 0 26 10944
32 32 15000 0 39 15168
32 32 20000 0 52 19392
32 32 25000 0 65 23616
32 32 30000 0 79 27840
32 32 35000 0 93 36288
32 32 40000 0 107 40512
32 32 45000 0 120 44736
32 32 50000 0 134 48960
32 32 55000 0 148 53184
32 32 60000 0 162 61632
32 32 65000 0 175 65856
32 32 70000 0 188 70080
32 32 75000 0 202 74304
32 32 80000 0 217 78528
32 32 85000 0 230 82752
32 32 90000 0 244 91200
32 32 95000 0 257 95424
32 32 100000 0 271 99648
32 32 100000 0 272 99648
32 32 150000 0 412 150336
32 32 200000 0 553 201024
32 32 250000 0 696 251712
32 32 300000 0 840 298176
32 32 350000 0 980 348864
32 32 400000 0 1128 401920
32 32 450000 0 1270 451968
32 32 500000 0 1418 501888
32 32 550000 0 1561 551936
32 32 600000 0 1704 601920
32 32 650000 0 1849 651904
32 32 700000 0 1996 701888
32 32 750000 0 2142 751872
32 32 800000 0 2284 801920
32 32 850000 0 2431 851968
32 32 900000 0 2574 901888
32 32 950000 0 2718 951936
32 32 1000000 0 2874 1001920
