# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 1
32 32 2 1  0 1
32 32 3 1  0 1
32 32 4 1  0 1
32 32 5 1  0 1
32 32 6 1  0 1
32 32 7 1  1 1
32 32 8 1  1 1
32 32 9 1  2 1
32 32 10 1  4 1
32 32 11 1  8 1344
32 32 12 1 18 1344
32 32 13 1 38 1344
32 32 14 1 82 2752
32 32 15 1 177 2752
32 32 16 1 375 6976
32 32 17 1 798 11200
32 32 18 1 1687 25984
32 32 19 1 3575 50624
32 32 20 1 7525 99776
32 32 21 1 15817 198016
32 32 22 1 33052 394624
32 32 23 1 69214 787840
32 32 24 1 144265 1574272
