# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 1
32 32 2 1  0 1
32 32 3 1  0 1
32 32 4 1  0 1
32 32 5 1  0 1
32 32 6 1  0 1
32 32 7 1  0 1
32 32 8 1  0 1
32 32 9 1  0 1
32 32 10 1  0 1
32 32 11 1  2 1
32 32 12 1  8 1344
32 32 13 1  3 1344
32 32 14 1  6 1344
32 32 15 1 12 2752
32 32 16 1 24 2752
32 32 17 1 52 6976
32 32 18 1 116 15424
32 32 19 1 242 32320
32 32 20 1 487 66048
32 32 21 1 998 129472
32 32 22 1 2050 263680
32 32 23 1 4146 525696
32 32 24 1 8341 1049984
