# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  9 2752
32 32 400 1 19 6976
32 32 600 1 29 15424
32 32 800 1 38 19648
32 32 1000 1 48 23872
32 32 1200 1 58 28096
32 32 1400 1 68 32320
32 32 1600 1 78 36544
32 32 1800 1 88 40768
32 32 2000 1 98 49216
32 32 2200 1 107 53440
32 32 2400 1 118 57664
32 32 2600 1 127 61888
32 32 2800 1 137 66112
32 32 3000 1 147 70336
32 32 3200 1 156 74560
32 32 3400 1 166 83008
32 32 3600 1 176 87232
32 32 3800 1 186 91456
32 32 4000 1 196 95680
32 32 4200 1 205 99904
32 32 4400 1 215 104128
32 32 4600 1 225 108352
32 32 4800 1 235 112576
32 32 5000 1 245 121024
32 32 5200 1 254 125248
32 32 5400 1 264 129472
32 32 5600 1 274 133696
32 32 5800 1 284 137920
32 32 6000 1 294 142080
32 32 6200 1 303 146368
32 32 6400 1 313 154816
32 32 6600 1 323 159040
32 32 6800 1 333 163264
32 32 7000 1 344 167488
32 32 7200 1 354 171712
32 32 7400 1 364 175936
32 32 7600 1 373 180160
32 32 7800 1 384 188608
32 32 8000 1 393 192832
32 32 8200 1 403 197056
32 32 8400 1 413 201280
32 32 8600 1 423 205504
32 32 8800 1 432 209728
32 32 9000 1 442 213888
32 32 9200 1 451 218176
32 32 9400 1 461 226624
32 32 9600 1 471 230848
32 32 9800 1 481 235072
32 32 10000 1 490 239296
