# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 128 2 1 414 10 10014 41.34
32 32 128 2 2 829 10 10024 82.70
32 32 128 2 3 1179 10 10021 117.65
32 32 128 2 4 1651 10 10021 164.75
32 32 128 2 5 2059 10 10017 205.55
32 32 128 2 6 2469 10 10021 246.39
32 32 128 2 7 2865 10 10021 285.90
32 32 128 2 8 3282 10 10021 327.51
32 32 128 2 9 3668 10 10023 365.97
32 32 128 2 10 4060 10 10021 405.13
32 32 128 2 11 4393 10 10024 438.25
32 32 128 2 12 4753 10 10024 474.15
32 32 128 2 13 4969 10 10022 495.79
32 32 128 2 14 4997 10 10023 498.54
32 32 128 2 15 5665 10 10022 565.23
32 32 128 2 16 5865 10 10022 585.21
32 32 128 2 17 6066 10 10026 605.04
32 32 128 2 18 6650 10 10023 663.47
32 32 128 2 19 6778 10 10023 676.23
32 32 128 2 20 7055 10 10023 703.87
32 32 128 2 21 7270 10 10024 725.25
32 32 128 2 22 7789 10 10025 776.99
32 32 128 2 23 7975 10 10118 788.22
32 32 128 2 24 7749 10 10074 769.24
32 32 128 2 25 8108 10 10031 808.33
32 32 128 2 26 8056 10 10026 803.52
32 32 128 2 27 8352 10 10026 833.03
32 32 128 2 28 8231 10 10026 820.97
32 32 128 2 29 8743 10 10105 865.21
32 32 128 2 30 9111 10 10028 908.58
32 32 128 2 31 9188 10 10064 912.95
32 32 128 2 32 9034 10 10052 898.71
32 32 128 2 33 9461 10 10098 936.88
32 32 128 2 34 10015 10 10026 998.88
32 32 128 2 35 9911 10 10031 988.04
32 32 128 2 36 9531 10 10117 942.08
32 32 128 2 37 9893 10 10031 986.29
32 32 128 2 38 9907 10 10031 987.64
32 32 128 2 39 9817 10 10048 977.03
32 32 128 2 40 10748 10 10096 1064.59
32 32 128 2 41 10524 10 10038 1048.46
32 32 128 2 42 10604 10 10042 1055.92
32 32 128 2 43 10423 10 10079 1034.17
32 32 128 2 44 10768 10 10036 1072.91
32 32 128 2 45 10747 10 10052 1069.12
32 32 128 2 46 11156 10 10043 1110.85
32 32 128 2 47 10997 10 10110 1087.71
32 32 128 2 48 10450 10 10045 1040.34
32 32 128 2 49 11252 10 10039 1120.83
32 32 128 2 50 11315 10 10038 1127.23
32 32 128 2 51 11715 10 10060 1164.46
32 32 128 2 52 11946 10 10084 1184.62
32 32 128 2 53 11886 10 10045 1183.32
32 32 128 2 54 11425 10 10082 1133.19
32 32 128 2 55 12181 10 10035 1213.84
32 32 128 2 56 12002 10 10073 1191.53
32 32 128 2 57 12278 10 10055 1221.04
32 32 128 2 58 12082 10 10067 1200.12
32 32 128 2 59 12502 10 10077 1240.64
32 32 128 2 60 12102 10 10042 1205.15
32 32 128 2 61 12610 10 10106 1247.76
32 32 128 2 62 12347 10 10057 1227.67
32 32 128 2 63 12716 10 10043 1266.20
32 32 128 2 64 12572 10 10082 1246.94
32 32 128 2 65 12682 10 10040 1263.14
32 32 128 2 66 12561 10 10057 1249.04
32 32 128 2 67 13195 10 10047 1313.34
32 32 128 2 68 12846 10 10056 1277.41
32 32 128 2 69 12998 10 10069 1290.94
32 32 128 2 70 12835 10 10062 1275.54
32 32 128 2 71 13182 10 10050 1311.70
32 32 128 2 72 13398 10 10074 1329.97
32 32 128 2 73 13082 10 10076 1298.34
32 32 128 2 74 13339 10 10061 1325.76
32 32 128 2 75 13063 10 10068 1297.52
32 32 128 2 76 13280 10 10060 1320.11
32 32 128 2 77 13208 10 10058 1313.19
32 32 128 2 78 13408 10 10078 1330.42
32 32 128 2 79 13526 10 10085 1341.17
32 32 128 2 80 13702 10 10076 1359.87
32 32 128 2 81 13623 10 10077 1351.87
32 32 128 2 82 13320 10 10074 1322.15
32 32 128 2 83 13691 10 10059 1361.07
32 32 128 2 84 13458 10 10077 1335.46
32 32 128 2 85 13884 10 10098 1374.97
32 32 128 2 86 13539 10 10068 1344.82
32 32 128 2 87 13800 10 10053 1372.76
32 32 128 2 88 13836 10 10091 1371.08
32 32 128 2 89 13724 10 10072 1362.55
32 32 128 2 90 13848 10 10092 1372.24
32 32 128 2 91 13902 10 10079 1379.37
