# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 128 2 1 8242 10 10001 824.11
32 32 128 2 2 17862 10 10001 1786.01
32 32 128 2 3 26811 10 10001 2680.77
32 32 128 2 4 35696 10 10000 3569.44
32 32 128 2 5 39322 10 10001 3931.73
32 32 128 2 6 53324 10 10001 5331.97
32 32 128 2 7 60698 10 10001 6069.08
32 32 128 2 8 70163 10 10001 7015.51
32 32 128 2 9 71605 10 10001 7159.52
32 32 128 2 10 78233 10 10006 7818.29
32 32 128 2 11 88460 10 10001 8844.98
32 32 128 2 12 93063 10 10003 9303.79
32 32 128 2 13 99190 10 10006 9913.38
32 32 128 2 14 101815 10 10001 10180.31
32 32 128 2 15 114763 10 10001 11474.85
32 32 128 2 16 118545 10 10001 11853.07
32 32 128 2 17 121476 10 10002 12144.80
32 32 128 2 18 126678 10 10002 12665.80
32 32 128 2 19 132414 10 10003 13236.85
32 32 128 2 20 134161 10 10004 13410.32
32 32 128 2 21 140381 10 10006 14029.01
32 32 128 2 22 139700 10 10002 13966.95
32 32 128 2 23 149676 10 10005 14960.06
32 32 128 2 24 145057 10 10005 14498.35
32 32 128 2 25 154714 10 10004 15464.95
32 32 128 2 26 155265 10 10003 15522.35
32 32 128 2 27 167469 10 10006 16736.51
32 32 128 2 28 166624 10 10006 16652.40
32 32 128 2 29 170111 10 10006 17000.84
32 32 128 2 30 169295 10 10004 16922.72
32 32 128 2 31 181862 10 10005 18176.54
32 32 128 2 32 190006 10 10004 18992.79
32 32 128 2 33 182410 10 10006 18230.28
32 32 128 2 34 176991 10 10002 17695.47
32 32 128 2 35 190682 10 10004 19061.32
32 32 128 2 36 202282 10 10005 20217.10
32 32 128 2 37 188608 10 10003 18855.90
32 32 128 2 38 190427 10 10002 19038.16
32 32 128 2 39 215613 10 10003 21554.21
32 32 128 2 40 205728 10 10003 20567.38
32 32 128 2 41 207278 10 10002 20723.61
32 32 128 2 42 207840 10 10004 20775.51
32 32 128 2 43 220042 10 10004 21995.03
32 32 128 2 44 202617 10 10005 20251.82
32 32 128 2 45 224632 10 10006 22449.74
32 32 128 2 46 219054 10 10004 21897.17
32 32 128 2 47 221405 10 10005 22129.76
32 32 128 2 48 213071 10 10004 21299.09
32 32 128 2 49 211769 10 10004 21167.93
32 32 128 2 50 227590 10 10005 22747.87
32 32 128 2 51 229786 10 10003 22971.81
32 32 128 2 52 227185 10 10003 22711.22
32 32 128 2 53 231192 10 10003 23113.12
32 32 128 2 54 239076 10 10005 23896.78
32 32 128 2 55 249802 10 10004 24971.13
32 32 128 2 56 240902 10 10005 24078.11
32 32 128 2 57 249071 10 10004 24897.45
32 32 128 2 58 250388 10 10006 25024.25
32 32 128 2 59 244023 10 10003 24394.19
32 32 128 2 60 243228 10 10004 24313.27
32 32 128 2 61 245721 10 10005 24560.47
32 32 128 2 62 251271 10 10005 25114.11
32 32 128 2 63 241244 10 10005 24113.44
32 32 128 2 64 246039 10 10004 24595.13
32 32 128 2 65 256218 10 10004 25611.70
32 32 128 2 66 254967 10 10003 25488.98
32 32 128 2 67 251410 10 10004 25130.46
32 32 128 2 68 247334 10 10005 24722.18
32 32 128 2 69 250587 10 10004 25049.57
32 32 128 2 70 244065 10 10006 24392.48
32 32 128 2 71 258806 10 10004 25870.97
32 32 128 2 72 259243 10 10004 25912.83
32 32 128 2 73 254162 10 10004 25406.50
32 32 128 2 74 253688 10 10005 25357.01
32 32 128 2 75 263535 10 10004 26342.56
32 32 128 2 76 266495 10 10004 26639.47
32 32 128 2 77 258960 10 10004 25886.66
32 32 128 2 78 264177 10 10004 26408.16
32 32 128 2 79 264001 10 10003 26390.92
32 32 128 2 80 270344 10 10004 27023.82
