# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 0 0 1 80970 10 10000 8096.85
32 32 0 0 2 166304 10 10000 16629.99
32 32 0 0 3 249164 10 10000 24915.81
32 32 0 0 4 319907 10 10000 31989.75
32 32 0 0 5 331193 10 10000 33118.40
32 32 0 0 6 463472 10 10000 46345.92
32 32 0 0 7 488502 10 10000 48848.59
32 32 0 0 8 534330 10 10000 53430.44
32 32 0 0 9 606573 10 10001 60654.22
32 32 0 0 10 572475 10 10000 57244.66
32 32 0 0 11 599776 10 10001 59973.16
32 32 0 0 12 623424 10 10001 62337.54
32 32 0 0 13 652647 10 10001 65260.43
32 32 0 0 14 623114 10 10001 62308.06
32 32 0 0 15 621282 10 10001 62122.14
32 32 0 0 16 588584 10 10001 58854.75
32 32 0 0 17 569363 10 10001 56931.75
32 32 0 0 18 540767 10 10001 54071.57
32 32 0 0 19 542663 10 10001 54260.60
32 32 0 0 20 536749 10 10001 53670.11
32 32 0 0 21 532768 10 10001 53270.29
32 32 0 0 22 527630 10 10001 52757.66
32 32 0 0 23 514023 10 10001 51396.45
32 32 0 0 24 505711 10 10001 50564.48
32 32 0 0 25 512141 10 10002 51205.82
32 32 0 0 26 505868 10 10001 50581.20
32 32 0 0 27 484963 10 10001 48489.37
32 32 0 0 28 498124 10 10001 49807.21
32 32 0 0 29 480232 10 10001 48016.84
32 32 0 0 30 479355 10 10001 47928.96
32 32 0 0 31 475554 10 10001 47548.88
32 32 0 0 32 475291 10 10001 47523.02
32 32 0 0 33 462098 10 10001 46205.48
32 32 0 0 34 462521 10 10002 46244.87
32 32 0 0 35 457583 10 10002 45748.99
32 32 0 0 36 450218 10 10002 45014.97
32 32 0 0 37 437036 10 10001 43698.32
32 32 0 0 38 436896 10 10001 43683.52
32 32 0 0 39 444207 10 10002 44413.08
32 32 0 0 40 431965 10 10002 43189.21
32 32 0 0 41 431940 10 10001 43189.84
32 32 0 0 42 428620 10 10001 42856.58
32 32 0 0 43 424770 10 10003 42465.88
32 32 0 0 44 422311 10 10002 42223.19
32 32 0 0 45 416800 10 10002 41673.39
32 32 0 0 46 417015 10 10001 41695.56
32 32 0 0 47 408386 10 10002 40832.08
32 32 0 0 48 408860 10 10001 40880.67
32 32 0 0 49 401594 10 10002 40150.18
32 32 0 0 50 401746 10 10002 40165.95
32 32 0 0 51 402343 10 10002 40227.85
32 32 0 0 52 397850 10 10002 39776.26
32 32 0 0 53 392009 10 10002 39194.92
32 32 0 0 54 396539 10 10001 39648.71
32 32 0 0 55 390584 10 10001 39053.17
32 32 0 0 56 387979 10 10001 38792.90
32 32 0 0 57 384970 10 10002 38490.77
32 32 0 0 58 382915 10 10001 38286.23
32 32 0 0 59 381868 10 10001 38181.17
32 32 0 0 60 379291 10 10002 37921.94
32 32 0 0 61 377036 10 10001 37698.17
32 32 0 0 62 375510 10 10001 37545.78
32 32 0 0 63 374159 10 10001 37410.76
32 32 0 0 64 371596 10 10002 37153.89
32 32 0 0 65 366748 10 10002 36667.92
32 32 0 0 66 366738 10 10002 36668.17
32 32 0 0 67 364379 10 10002 36431.34
32 32 0 0 68 365019 10 10002 36495.42
32 32 0 0 69 362057 10 10002 36198.41
32 32 0 0 70 360230 10 10002 36017.41
32 32 0 0 71 359319 10 10002 35926.20
32 32 0 0 72 358403 10 10002 35833.46
32 32 0 0 73 355797 10 10002 35573.46
32 32 0 0 74 352316 10 10002 35225.36
32 32 0 0 75 347250 10 10002 34719.05
32 32 0 0 76 351515 10 10002 35145.07
32 32 0 0 77 347381 10 10002 34731.60
32 32 0 0 78 346036 10 10002 34596.85
32 32 0 0 79 342244 10 10002 34217.91
32 32 0 0 80 342729 10 10002 34266.47
32 32 0 0 81 339032 10 10002 33896.95
32 32 0 0 82 338514 10 10002 33844.22
32 32 0 0 83 337860 10 10002 33779.69
32 32 0 0 84 334000 10 10002 33393.38
32 32 0 0 85 334255 10 10002 33418.39
32 32 0 0 86 333653 10 10002 33357.97
32 32 0 0 87 331406 10 10002 33133.17
32 32 0 0 88 328957 10 10002 32888.49
32 32 0 0 89 329628 10 10003 32954.54
32 32 0 0 90 327008 10 10002 32693.10
32 32 0 0 91 329617 10 10002 32954.25
32 32 0 0 92 323606 10 10002 32353.81
32 32 0 0 93 322501 10 10002 32242.31
32 32 0 0 94 323006 10 10002 32293.69
32 32 0 0 95 319657 10 10002 31958.72
32 32 0 0 96 317774 10 10002 31770.55
32 32 0 0 97 317642 10 10002 31756.86
32 32 0 0 98 318233 10 10002 31815.40
32 32 0 0 99 315807 10 10002 31573.50
32 32 0 0 100 318312 10 10002 31823.32
32 32 0 0 101 314612 10 10002 31454.21
32 32 0 0 102 312964 10 10003 31288.34
32 32 0 0 103 309160 10 10003 30907.78
32 32 0 0 104 309970 10 10002 30990.17
32 32 0 0 105 308042 10 10003 30796.41
32 32 0 0 106 309799 10 10003 30971.46
32 32 0 0 107 305310 10 10003 30523.20
32 32 0 0 108 304714 10 10003 30463.06
32 32 0 0 109 304123 10 10003 30404.01
32 32 0 0 110 303118 10 10003 30303.66
32 32 0 0 111 302293 10 10003 30220.98
32 32 0 0 112 302664 10 10003 30258.38
32 32 0 0 113 305879 10 10003 30579.40
32 32 0 0 114 295571 10 10003 29547.95
32 32 0 0 115 295763 10 10003 29568.11
32 32 0 0 116 298497 10 10004 29838.99
32 32 0 0 117 295311 10 10003 29523.44
32 32 0 0 118 294226 10 10003 29413.61
32 32 0 0 119 291411 10 10003 29133.36
32 32 0 0 120 297873 10 10003 29779.07
32 32 0 0 121 295538 10 10003 29545.58
32 32 0 0 122 296420 10 10003 29632.98
32 32 0 0 123 290371 10 10003 29028.07
32 32 0 0 124 289036 10 10003 28895.10
32 32 0 0 125 289315 10 10003 28921.97
32 32 0 0 126 290811 10 10005 29067.21
32 32 0 0 127 285306 10 10005 28515.19
32 32 0 0 128 288576 10 10004 28845.61
32 32 0 0 129 284170 10 10006 28399.41
32 32 0 0 130 284500 10 10007 28431.03
32 32 0 0 131 281511 10 10003 28141.55
32 32 0 0 132 282471 10 10004 28234.54
32 32 0 0 133 283747 10 10004 28364.68
32 32 0 0 134 281626 10 10005 28149.01
32 32 0 0 135 283913 10 10006 28373.17
32 32 0 0 136 284596 10 10004 28447.51
32 32 0 0 137 279576 10 10004 27945.08
32 32 0 0 138 280618 10 10005 28047.68
32 32 0 0 139 286994 10 10006 28683.53
32 32 0 0 140 279594 10 10005 27944.49
32 32 0 0 141 277549 10 10006 27737.43
32 32 0 0 142 277101 10 10004 27699.87
32 32 0 0 143 276735 10 10005 27660.73
32 32 0 0 144 278420 10 10005 27827.40
32 32 0 0 145 279350 10 10006 27918.60
32 32 0 0 146 274850 10 10007 27465.87
32 32 0 0 147 275925 10 10005 27577.41
32 32 0 0 148 273952 10 10005 27380.54
32 32 0 0 149 275912 10 10005 27577.09
32 32 0 0 150 276282 10 10006 27610.62
32 32 0 0 151 274675 10 10005 27452.62
32 32 0 0 152 271624 10 10007 27142.25
32 32 0 0 153 280111 10 10005 27996.59
32 32 0 0 154 273525 10 10006 27335.11
32 32 0 0 155 273844 10 10005 27369.47
32 32 0 0 156 273490 10 10005 27334.61
32 32 0 0 157 270760 10 10005 27061.16
32 32 0 0 158 273025 10 10007 27283.90
32 32 0 0 159 270636 10 10006 27048.38
32 32 0 0 160 271698 10 10007 27150.63
