# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 0 0 1 5677 10 10001 567.65
32 32 0 0 2 14584 10 10001 1458.23
32 32 0 0 3 21847 10 10001 2184.53
32 32 0 0 4 29094 10 10001 2909.05
32 32 0 0 5 36326 10 10001 3632.08
32 32 0 0 6 38492 10 10006 3846.86
32 32 0 0 7 45775 10 10003 4576.29
32 32 0 0 8 56874 10 10001 5686.59
32 32 0 0 9 59732 10 10005 5969.93
32 32 0 0 10 71192 10 10001 7118.15
32 32 0 0 11 74020 10 10002 7400.41
32 32 0 0 12 84610 10 10001 8459.90
32 32 0 0 13 85624 10 10005 8558.12
32 32 0 0 14 90803 10 10001 9079.05
32 32 0 0 15 98297 10 10002 9828.02
32 32 0 0 16 99973 10 10007 9990.52
32 32 0 0 17 95687 10 10006 9562.66
32 32 0 0 18 112893 10 10006 11282.50
32 32 0 0 19 112984 10 10002 11296.65
32 32 0 0 20 113275 10 10006 11320.47
32 32 0 0 21 124409 10 10006 12433.19
32 32 0 0 22 126089 10 10005 12602.65
32 32 0 0 23 136024 10 10005 13595.11
32 32 0 0 24 134652 10 10002 13462.46
32 32 0 0 25 140160 10 10004 14010.87
32 32 0 0 26 135296 10 10005 13523.08
32 32 0 0 27 143547 10 10005 14347.97
32 32 0 0 28 143961 10 10003 14391.32
32 32 0 0 29 153093 10 10003 15304.31
32 32 0 0 30 158245 10 10003 15820.45
32 32 0 0 31 162614 10 10004 16255.43
32 32 0 0 32 165962 10 10003 16591.06
32 32 0 0 33 169101 10 10003 16904.67
32 32 0 0 34 162673 10 10004 16261.02
32 32 0 0 35 179076 10 10003 17902.40
32 32 0 0 36 181507 10 10004 18143.42
32 32 0 0 37 188071 10 10006 18795.22
32 32 0 0 38 180172 10 10004 18009.67
32 32 0 0 39 179052 10 10005 17895.69
32 32 0 0 40 186331 10 10006 18622.10
32 32 0 0 41 183299 10 10005 18321.31
32 32 0 0 42 188133 10 10004 18805.78
32 32 0 0 43 196142 10 10004 19606.31
32 32 0 0 44 196477 10 10002 19643.22
32 32 0 0 45 200902 10 10005 20081.09
32 32 0 0 46 191783 10 10004 19171.58
32 32 0 0 47 206337 10 10003 20628.23
32 32 0 0 48 211670 10 10006 21153.76
32 32 0 0 49 217773 10 10003 21770.11
32 32 0 0 50 210014 10 10005 20991.58
32 32 0 0 51 206339 10 10003 20627.57
32 32 0 0 52 219514 10 10005 21941.34
32 32 0 0 53 224034 10 10003 22396.84
32 32 0 0 54 225206 10 10003 22513.70
32 32 0 0 55 223003 10 10004 22290.27
32 32 0 0 56 228919 10 10002 22886.33
32 32 0 0 57 234247 10 10004 23414.19
32 32 0 0 58 242404 10 10004 24231.53
32 32 0 0 59 230044 10 10004 22994.14
32 32 0 0 60 235498 10 10004 23541.55
32 32 0 0 61 239165 10 10002 23910.65
32 32 0 0 62 243632 10 10004 24352.38
32 32 0 0 63 245269 10 10006 24512.68
32 32 0 0 64 247098 10 10006 24695.20
32 32 0 0 65 241892 10 10004 24179.41
32 32 0 0 66 247957 10 10004 24786.40
32 32 0 0 67 249140 10 10004 24903.83
32 32 0 0 68 256987 10 10004 25687.38
32 32 0 0 69 253496 10 10004 25340.47
32 32 0 0 70 258749 10 10004 25865.54
32 32 0 0 71 258455 10 10005 25832.47
32 32 0 0 72 258848 10 10004 25874.82
32 32 0 0 73 258302 10 10004 25818.90
32 32 0 0 74 265458 10 10005 26531.70
32 32 0 0 75 264456 10 10004 26436.15
32 32 0 0 76 262815 10 10003 26273.01
32 32 0 0 77 262574 10 10005 26244.97
32 32 0 0 78 266558 10 10005 26643.51
32 32 0 0 79 269818 10 10004 26969.69
32 32 0 0 80 271643 10 10005 27151.65
32 32 0 0 81 269628 10 10003 26954.17
32 32 0 0 82 266959 10 10004 26683.99
32 32 0 0 83 266273 10 10004 26615.68
32 32 0 0 84 272358 10 10005 27223.39
32 32 0 0 85 270362 10 10004 27026.30
32 32 0 0 86 277369 10 10004 27725.45
32 32 0 0 87 271516 10 10003 27143.21
32 32 0 0 88 282399 10 10003 28230.13
32 32 0 0 89 284912 10 10003 28481.49
32 32 0 0 90 278493 10 10005 27835.24
32 32 0 0 91 278467 10 10004 27834.50
32 32 0 0 92 277188 10 10003 27709.28
32 32 0 0 93 277914 10 10006 27776.06
32 32 0 0 94 285376 10 10004 28525.30
32 32 0 0 95 275887 10 10004 27577.76
32 32 0 0 96 279447 10 10004 27932.30
32 32 0 0 97 278597 10 10004 27849.81
32 32 0 0 98 280945 10 10004 28083.81
32 32 0 0 99 286916 10 10004 28680.76
32 32 0 0 100 284089 10 10004 28397.17
32 32 0 0 101 283321 10 10004 28319.58
32 32 0 0 102 279063 10 10005 27892.53
32 32 0 0 103 278681 10 10004 27856.71
32 32 0 0 104 279924 10 10005 27977.34
32 32 0 0 105 281212 10 10005 28107.30
32 32 0 0 106 276069 10 10004 27596.10
32 32 0 0 107 276426 10 10004 27631.57
32 32 0 0 108 287644 10 10004 28751.65
32 32 0 0 109 277408 10 10005 27725.93
32 32 0 0 110 278917 10 10005 27878.04
32 32 0 0 111 287449 10 10004 28732.26
32 32 0 0 112 281801 10 10005 28167.06
32 32 0 0 113 287336 10 10005 28720.01
32 32 0 0 114 271886 10 10004 27176.96
32 32 0 0 115 286271 10 10004 28614.86
32 32 0 0 116 270733 10 10005 27060.44
32 32 0 0 117 281123 10 10005 28099.60
32 32 0 0 118 284703 10 10005 28456.62
32 32 0 0 119 278512 10 10005 27838.16
32 32 0 0 120 284924 10 10005 28478.68
32 32 0 0 121 285226 10 10005 28508.58
32 32 0 0 122 289728 10 10005 28959.51
32 32 0 0 123 282708 10 10005 28256.70
32 32 0 0 124 289340 10 10005 28920.83
32 32 0 0 125 288604 10 10005 28846.09
32 32 0 0 126 285105 10 10007 28490.78
32 32 0 0 127 287813 10 10005 28767.18
32 32 0 0 128 285640 10 10006 28547.17
32 32 0 0 129 288054 10 10005 28790.96
32 32 0 0 130 279859 10 10005 27971.38
32 32 0 0 131 286650 10 10005 28651.14
32 32 0 0 132 287590 10 10006 28741.03
32 32 0 0 133 287642 10 10005 28751.03
32 32 0 0 134 284943 10 10007 28474.59
32 32 0 0 135 284145 10 10004 28401.87
32 32 0 0 136 286503 10 10006 28634.34
32 32 0 0 137 289117 10 10006 28895.41
32 32 0 0 138 283871 10 10006 28370.06
32 32 0 0 139 287948 10 10008 28772.10
32 32 0 0 140 286086 10 10006 28590.26
32 32 0 0 141 285464 10 10007 28527.41
32 32 0 0 142 285901 10 10008 28568.32
32 32 0 0 143 276011 10 10005 27586.90
32 32 0 0 144 288416 10 10005 28826.10
32 32 0 0 145 286887 10 10007 28669.02
32 32 0 0 146 287334 10 10007 28712.61
32 32 0 0 147 287220 10 10006 28706.11
32 32 0 0 148 282899 10 10006 28273.31
32 32 0 0 149 286140 10 10007 28592.92
32 32 0 0 150 289852 10 10007 28965.28
32 32 0 0 151 285709 10 10006 28554.68
32 32 0 0 152 284443 10 10008 28422.41
32 32 0 0 153 288090 10 10006 28792.79
32 32 0 0 154 282428 10 10007 28224.07
32 32 0 0 155 283376 10 10008 28316.09
32 32 0 0 156 285497 10 10007 28528.97
32 32 0 0 157 279893 10 10007 27969.82
32 32 0 0 158 287403 10 10008 28717.93
32 32 0 0 159 287432 10 10006 28726.78
32 32 0 0 160 279985 10 10009 27974.48
