# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 5 0 1 21563 10 10000 2156.24
32 32 5 0 2 44170 10 10000 4416.84
32 32 5 0 3 66047 10 10000 6604.45
32 32 5 0 4 87860 10 10001 8785.53
32 32 5 0 5 101267 10 10002 10124.79
32 32 5 0 6 122815 10 10001 12280.76
32 32 5 0 7 139666 10 10001 13965.88
32 32 5 0 8 160376 10 10001 16035.69
32 32 5 0 9 174461 10 10001 17444.96
32 32 5 0 10 190184 10 10001 19016.73
32 32 5 0 11 201618 10 10001 20159.43
32 32 5 0 12 215816 10 10002 21577.67
32 32 5 0 13 247902 10 10001 24788.52
32 32 5 0 14 254812 10 10003 25474.79
32 32 5 0 15 275984 10 10001 27596.58
32 32 5 0 16 283699 10 10001 28366.68
32 32 5 0 17 285183 10 10001 28516.64
32 32 5 0 18 325303 10 10001 32528.28
32 32 5 0 19 311332 10 10001 31128.60
32 32 5 0 20 307978 10 10002 30791.82
32 32 5 0 21 320491 10 10002 32042.22
32 32 5 0 22 336920 10 10001 33689.13
32 32 5 0 23 323008 10 10001 32297.89
32 32 5 0 24 367454 10 10001 36739.95
32 32 5 0 25 372380 10 10002 37231.63
32 32 5 0 26 380667 10 10001 38061.38
32 32 5 0 27 375902 10 10002 37581.58
32 32 5 0 28 389567 10 10001 38952.66
32 32 5 0 29 387744 10 10002 38767.35
32 32 5 0 30 409675 10 10002 40960.29
32 32 5 0 31 385184 10 10001 38514.44
32 32 5 0 32 427923 10 10002 42783.75
32 32 5 0 33 390804 10 10003 39070.43
32 32 5 0 34 395270 10 10003 39516.55
32 32 5 0 35 431852 10 10001 43178.88
32 32 5 0 36 417313 10 10002 41722.75
32 32 5 0 37 431956 10 10002 43186.32
32 32 5 0 38 443558 10 10002 44346.44
32 32 5 0 39 407180 10 10002 40708.21
32 32 5 0 40 424661 10 10002 42459.26
32 32 5 0 41 430387 10 10002 43029.31
32 32 5 0 42 460580 10 10002 46048.00
32 32 5 0 43 435109 10 10001 43504.50
32 32 5 0 44 468681 10 10002 46858.93
32 32 5 0 45 466554 10 10002 46645.59
32 32 5 0 46 459544 10 10002 45945.65
32 32 5 0 47 464710 10 10002 46463.90
32 32 5 0 48 461974 10 10002 46186.66
32 32 5 0 49 482463 10 10002 48236.25
32 32 5 0 50 474842 10 10002 47475.25
32 32 5 0 51 461530 10 10002 46145.04
32 32 5 0 52 486052 10 10002 48597.02
32 32 5 0 53 471444 10 10001 47137.78
32 32 5 0 54 477976 10 10002 47789.95
32 32 5 0 55 480035 10 10002 47996.11
32 32 5 0 56 493447 10 10001 49338.18
32 32 5 0 57 496673 10 10002 49658.30
32 32 5 0 58 490890 10 10002 49078.54
32 32 5 0 59 494973 10 10002 49487.68
32 32 5 0 60 488374 10 10002 48826.82
32 32 5 0 61 493802 10 10002 49371.72
32 32 5 0 62 486396 10 10002 48630.28
32 32 5 0 63 489308 10 10002 48922.52
32 32 5 0 64 487074 10 10002 48697.32
32 32 5 0 65 483637 10 10002 48353.53
32 32 5 0 66 483544 10 10002 48344.44
32 32 5 0 67 483511 10 10002 48341.76
32 32 5 0 68 480079 10 10002 48000.40
32 32 5 0 69 464418 10 10002 46433.96
32 32 5 0 70 462640 10 10003 46251.77
32 32 5 0 71 474554 10 10002 47443.82
32 32 5 0 72 454583 10 10002 45447.45
32 32 5 0 73 454009 10 10003 45388.76
32 32 5 0 74 444057 10 10002 44397.19
32 32 5 0 75 436910 10 10002 43681.10
32 32 5 0 76 429855 10 10002 42977.45
32 32 5 0 77 422458 10 10003 42233.47
32 32 5 0 78 423426 10 10002 42335.00
32 32 5 0 79 417712 10 10002 41761.78
32 32 5 0 80 415223 10 10003 41511.54
32 32 5 0 81 413941 10 10002 41384.39
32 32 5 0 82 406775 10 10003 40665.47
32 32 5 0 83 398841 10 10002 39876.18
32 32 5 0 84 396713 10 10002 39661.75
32 32 5 0 85 395999 10 10002 39592.14
32 32 5 0 86 395290 10 10002 39519.43
32 32 5 0 87 391711 10 10002 39162.38
32 32 5 0 88 385583 10 10002 38548.86
32 32 5 0 89 384903 10 10003 38478.29
32 32 5 0 90 379141 10 10003 37903.05
32 32 5 0 91 376504 10 10003 37639.74
32 32 5 0 92 378479 10 10002 37838.73
32 32 5 0 93 373168 10 10002 37308.40
32 32 5 0 94 373323 10 10002 37323.33
32 32 5 0 95 374226 10 10003 37412.94
32 32 5 0 96 366909 10 10002 36682.19
32 32 5 0 97 364901 10 10003 36480.24
32 32 5 0 98 364650 10 10003 36455.39
32 32 5 0 99 369731 10 10003 36961.95
32 32 5 0 100 376936 10 10003 37683.53
32 32 5 0 101 359647 10 10003 35954.19
32 32 5 0 102 355995 10 10003 35588.91
32 32 5 0 103 361216 10 10003 36112.17
32 32 5 0 104 355294 10 10003 35519.30
32 32 5 0 105 346049 10 10003 34595.91
32 32 5 0 106 351117 10 10003 35102.31
32 32 5 0 107 343211 10 10003 34312.33
32 32 5 0 108 342576 10 10003 34248.70
32 32 5 0 109 349053 10 10003 34894.61
32 32 5 0 110 341006 10 10003 34090.87
32 32 5 0 111 345288 10 10003 34518.26
32 32 5 0 112 347937 10 10003 34783.31
32 32 5 0 113 331980 10 10003 33189.33
32 32 5 0 114 347179 10 10003 34707.22
32 32 5 0 115 335163 10 10003 33506.11
