# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 8 0 1 448 10 10015 44.73
32 32 8 0 2 1089 10 10015 108.74
32 32 8 0 3 1630 10 10012 162.81
32 32 8 0 4 2173 10 10018 216.92
32 32 8 0 5 2722 10 10015 271.78
32 32 8 0 6 3250 10 10014 324.53
32 32 8 0 7 3782 10 10016 377.59
32 32 8 0 8 4280 10 10017 427.28
32 32 8 0 9 4748 10 10016 474.05
32 32 8 0 10 5275 10 10017 526.60
32 32 8 0 11 5776 10 10015 576.73
32 32 8 0 12 6185 10 10016 617.50
32 32 8 0 13 6683 10 10018 667.07
32 32 8 0 14 7221 10 10016 720.92
32 32 8 0 15 7515 10 10018 750.17
32 32 8 0 16 7827 10 10017 781.39
32 32 8 0 17 8079 10 10017 806.55
32 32 8 0 18 8697 10 10018 868.10
32 32 8 0 19 8706 10 10034 867.66
32 32 8 0 20 9344 10 10018 932.68
32 32 8 0 21 9340 10 10019 932.27
32 32 8 0 22 9946 10 10046 990.00
32 32 8 0 23 10599 10 10018 1058.03
32 32 8 0 24 10506 10 10022 1048.30
32 32 8 0 25 10655 10 10022 1063.21
32 32 8 0 26 11297 10 10021 1127.30
32 32 8 0 27 12003 10 10023 1197.54
32 32 8 0 28 11521 10 10019 1149.90
32 32 8 0 29 11672 10 10022 1164.68
32 32 8 0 30 12358 10 10022 1233.06
32 32 8 0 31 12644 10 10021 1261.72
32 32 8 0 32 12784 10 10067 1269.85
32 32 8 0 33 12459 10 10021 1243.25
32 32 8 0 34 13494 10 10022 1346.39
32 32 8 0 35 13394 10 10023 1336.39
32 32 8 0 36 13694 10 10023 1366.28
32 32 8 0 37 13794 10 10022 1376.35
32 32 8 0 38 13478 10 10035 1343.14
32 32 8 0 39 13730 10 10023 1369.90
32 32 8 0 40 14757 10 10022 1472.41
32 32 8 0 41 14069 10 10053 1399.49
32 32 8 0 42 15081 10 10025 1504.33
32 32 8 0 43 15391 10 10023 1535.63
32 32 8 0 44 15034 10 10047 1496.41
32 32 8 0 45 15040 10 10034 1498.87
32 32 8 0 46 14450 10 10031 1440.50
32 32 8 0 47 15534 10 10032 1548.44
32 32 8 0 48 14857 10 10028 1481.60
32 32 8 0 49 15845 10 10049 1576.77
32 32 8 0 50 16119 10 10030 1607.09
32 32 8 0 51 15843 10 10029 1579.69
32 32 8 0 52 16290 10 10029 1624.31
32 32 8 0 53 15711 10 10036 1565.51
32 32 8 0 54 16863 10 10031 1681.01
32 32 8 0 55 16666 10 10033 1661.13
32 32 8 0 56 16583 10 10033 1652.78
32 32 8 0 57 16145 10 10047 1607.02
32 32 8 0 58 16920 10 10028 1687.19
32 32 8 0 59 16963 10 10031 1691.04
32 32 8 0 60 17476 10 10036 1741.30
32 32 8 0 61 16817 10 10038 1675.31
32 32 8 0 62 16812 10 10034 1675.52
