# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 7 0 1 1747 10 10000 174.69
32 32 7 0 2 7038 10 10002 703.64
32 32 7 0 3 10456 10 10003 1045.31
32 32 7 0 4 13989 10 10001 1398.81
32 32 7 0 5 17350 10 10002 1734.69
32 32 7 0 6 20900 10 10003 2089.38
32 32 7 0 7 24184 10 10003 2417.72
32 32 7 0 8 27414 10 10003 2740.61
32 32 7 0 9 30622 10 10003 3061.39
32 32 7 0 10 33708 10 10003 3369.80
32 32 7 0 11 36427 10 10003 3641.66
32 32 7 0 12 38378 10 10003 3836.66
32 32 7 0 13 43049 10 10003 4303.71
32 32 7 0 14 41583 10 10004 4156.58
32 32 7 0 15 45638 10 10002 4562.69
32 32 7 0 16 45432 10 10012 4537.62
32 32 7 0 17 51390 10 10008 5135.11
32 32 7 0 18 51845 10 10004 5182.58
32 32 7 0 19 56670 10 10003 5665.27
32 32 7 0 20 55485 10 10011 5542.66
32 32 7 0 21 53806 10 10010 5375.23
32 32 7 0 22 55532 10 10013 5546.25
32 32 7 0 23 60465 10 10011 6039.60
32 32 7 0 24 64083 10 10008 6403.33
32 32 7 0 25 57648 10 10011 5758.29
32 32 7 0 26 66118 10 10010 6605.43
32 32 7 0 27 64711 10 10007 6466.34
32 32 7 0 28 69317 10 10008 6926.45
32 32 7 0 29 69899 10 10004 6987.18
32 32 7 0 30 65905 10 10008 6585.29
32 32 7 0 31 69821 10 10008 6976.38
32 32 7 0 32 72741 10 10003 7271.59
32 32 7 0 33 74630 10 10011 7454.95
32 32 7 0 34 73938 10 10006 7389.31
32 32 7 0 35 76274 10 10009 7620.34
32 32 7 0 36 76388 10 10006 7634.47
32 32 7 0 37 76081 10 10010 7600.51
32 32 7 0 38 77956 10 10011 7787.10
32 32 7 0 39 81104 10 10005 8106.33
32 32 7 0 40 81307 10 10010 8122.76
32 32 7 0 41 81615 10 10005 8157.20
32 32 7 0 42 81220 10 10012 8112.35
32 32 7 0 43 80980 10 10007 8092.43
32 32 7 0 44 84901 10 10009 8482.44
32 32 7 0 45 85619 10 10011 8552.50
32 32 7 0 46 85106 10 10008 8504.07
32 32 7 0 47 86702 10 10010 8661.48
32 32 7 0 48 88390 10 10004 8835.16
32 32 7 0 49 85827 10 10009 8575.24
32 32 7 0 50 88385 10 10009 8830.37
32 32 7 0 51 90038 10 10007 8997.52
32 32 7 0 52 95202 10 10009 9511.21
32 32 7 0 53 90928 10 10008 9085.60
32 32 7 0 54 93376 10 10006 9331.59
32 32 7 0 55 93273 10 10011 9317.44
32 32 7 0 56 97593 10 10009 9750.84
32 32 7 0 57 94784 10 10007 9471.75
32 32 7 0 58 95288 10 10008 9521.05
