# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 683 1 1 154 10 10003 15.40
32 32 683 1 2 626 10 10002 62.59
32 32 683 1 3 940 10 10028 93.74
32 32 683 1 4 1248 10 10032 124.40
32 32 683 1 5 1561 10 10018 155.82
32 32 683 1 6 1867 10 10032 186.11
32 32 683 1 7 2106 10 10023 210.11
32 32 683 1 8 2460 10 10030 245.27
32 32 683 1 9 2645 10 10032 263.66
32 32 683 1 10 3036 10 10020 302.99
32 32 683 1 11 3327 10 10032 331.65
32 32 683 1 12 3389 10 10116 335.02
32 32 683 1 13 3793 10 10028 378.26
32 32 683 1 14 3889 10 10031 387.70
32 32 683 1 15 4083 10 10045 406.49
32 32 683 1 16 4372 10 10032 435.80
32 32 683 1 17 4451 10 10031 443.75
32 32 683 1 18 5000 10 10090 495.56
32 32 683 1 19 5144 10 10022 513.28
32 32 683 1 20 5370 10 10118 530.76
32 32 683 1 21 5092 10 10152 501.58
32 32 683 1 22 5232 10 10031 521.59
32 32 683 1 23 5657 10 10035 563.72
32 32 683 1 24 5404 10 10032 538.66
32 32 683 1 25 5423 10 10039 540.22
32 32 683 1 26 5472 10 10157 538.75
32 32 683 1 27 5570 10 10034 555.12
32 32 683 1 28 5201 10 10070 516.47
32 32 683 1 29 5935 10 10039 591.18
32 32 683 1 30 5973 10 10034 595.29
32 32 683 1 31 5671 10 10035 565.09
32 32 683 1 32 5441 10 10047 541.53
32 32 683 1 33 6360 10 10036 633.70
32 32 683 1 34 6041 10 10038 601.82
32 32 683 1 35 5834 10 10043 580.88
32 32 683 1 36 6250 10 10076 620.30
32 32 683 1 37 6030 10 10046 600.24
32 32 683 1 38 6034 10 10100 597.45
32 32 683 1 39 5727 10 10133 565.18
32 32 683 1 40 6931 10 10130 684.22
32 32 683 1 41 6756 10 10097 669.09
32 32 683 1 42 6212 10 10056 617.72
32 32 683 1 43 6097 10 10040 607.30
32 32 683 1 44 6316 10 10135 623.21
32 32 683 1 45 6346 10 10059 630.87
32 32 683 1 46 6843 10 10052 680.73
32 32 683 1 47 6875 10 10049 684.18
32 32 683 1 48 7336 10 10052 729.83
32 32 683 1 49 6628 10 10054 659.25
32 32 683 1 50 7157 10 10134 706.26
32 32 683 1 51 7373 10 10115 728.92
32 32 683 1 52 6459 10 10057 642.22
32 32 683 1 53 7049 10 10054 701.10
32 32 683 1 54 7157 10 10060 711.41
32 32 683 1 55 7492 10 10051 745.41
32 32 683 1 56 7957 10 10059 791.00
32 32 683 1 57 7528 10 10147 741.91
32 32 683 1 58 7614 10 10079 755.44
32 32 683 1 59 7974 10 10054 793.14
32 32 683 1 60 7522 10 10072 746.80
32 32 683 1 61 7680 10 10064 763.11
32 32 683 1 62 7798 10 10095 772.46
32 32 683 1 63 8144 10 10056 809.89
32 32 683 1 64 7900 10 10114 781.08
32 32 683 1 65 8263 10 10091 818.84
32 32 683 1 66 8056 10 10118 796.22
32 32 683 1 67 7806 10 10137 770.08
32 32 683 1 68 8354 10 10090 827.97
32 32 683 1 69 7617 10 10100 754.19
32 32 683 1 70 8377 10 10116 828.08
32 32 683 1 71 8300 10 10076 823.78
32 32 683 1 72 8064 10 10074 800.49
32 32 683 1 73 8118 10 10102 803.61
32 32 683 1 74 8466 10 10074 840.36
32 32 683 1 75 8675 10 10108 858.24
32 32 683 1 76 8400 10 10093 832.26
32 32 683 1 77 8623 10 10076 855.80
32 32 683 1 78 8849 10 10112 875.08
32 32 683 1 79 8723 10 10104 863.31
32 32 683 1 80 8519 10 10114 842.32
32 32 683 1 81 8590 10 10092 851.18
32 32 683 1 82 8694 10 10098 860.94
32 32 683 1 83 8590 10 10086 851.68
32 32 683 1 84 8738 10 10103 864.91
32 32 683 1 85 8972 10 10096 888.68
32 32 683 1 86 8910 10 10090 883.09
32 32 683 1 87 8640 10 10133 852.67
32 32 683 1 88 8701 10 10104 861.16
32 32 683 1 89 8743 10 10089 866.58
32 32 683 1 90 8544 10 10102 845.78
32 32 683 1 91 8291 10 10102 820.70
32 32 683 1 92 8798 10 10119 869.48
32 32 683 1 93 8376 10 10095 829.69
32 32 683 1 94 8906 10 10109 881.04
32 32 683 1 95 8990 10 10136 886.93
32 32 683 1 96 8818 10 10071 875.55
32 32 683 1 97 9064 10 10106 896.91
32 32 683 1 98 8938 10 10094 885.52
32 32 683 1 99 8902 10 10086 882.59
32 32 683 1 100 8846 10 10092 876.55
32 32 683 1 101 8899 10 10107 880.52
32 32 683 1 102 9069 10 10105 897.44
32 32 683 1 103 9022 10 10098 893.42
32 32 683 1 104 8576 10 10112 848.12
32 32 683 1 105 8495 10 10133 838.39
32 32 683 1 106 8906 10 10112 880.71
32 32 683 1 107 8525 10 10121 842.33
32 32 683 1 108 9017 10 10131 890.07
32 32 683 1 109 8756 10 10107 866.30
32 32 683 1 110 8985 10 10119 887.97
32 32 683 1 111 9079 10 10128 896.43
32 32 683 1 112 9065 10 10104 897.16
32 32 683 1 113 9119 10 10117 901.39
32 32 683 1 114 8822 10 10097 873.76
32 32 683 1 115 9146 10 10109 904.70
32 32 683 1 116 8989 10 10122 888.04
32 32 683 1 117 9106 10 10117 900.07
32 32 683 1 118 9051 10 10115 894.80
32 32 683 1 119 9181 10 10114 907.73
32 32 683 1 120 9051 10 10104 895.76
32 32 683 1 121 8859 10 10097 877.37
32 32 683 1 122 9037 10 10141 891.18
32 32 683 1 123 8870 10 10115 876.89
32 32 683 1 124 9118 10 10126 900.49
32 32 683 1 125 9187 10 10138 906.17
32 32 683 1 126 9037 10 10121 892.89
32 32 683 1 127 9062 10 10126 894.96
32 32 683 1 128 9042 10 10128 892.76
32 32 683 1 129 9103 10 10147 897.09
32 32 683 1 130 9001 10 10120 889.46
32 32 683 1 131 9174 10 10118 906.74
32 32 683 1 132 8942 10 10132 882.59
32 32 683 1 133 8995 10 10127 888.23
32 32 683 1 134 8964 10 10127 885.18
32 32 683 1 135 9140 10 10122 903.02
32 32 683 1 136 9112 10 10114 900.92
32 32 683 1 137 9131 10 10135 900.94
32 32 683 1 138 9154 10 10133 903.38
32 32 683 1 139 9136 10 10123 902.46
32 32 683 1 140 9156 10 10122 904.58
32 32 683 1 141 9167 10 10134 904.59
32 32 683 1 142 9015 10 10125 890.35
32 32 683 1 143 9058 10 10132 893.99
32 32 683 1 144 9036 10 10125 892.48
32 32 683 1 145 8923 10 10136 880.34
32 32 683 1 146 9071 10 10116 896.69
32 32 683 1 147 8939 10 10139 881.60
32 32 683 1 148 9010 10 10135 888.98
32 32 683 1 149 9027 10 10132 890.96
32 32 683 1 150 9076 10 10136 895.41
32 32 683 1 151 9090 10 10144 896.08
32 32 683 1 152 9042 10 10136 892.05
32 32 683 1 153 9058 10 10149 892.51
32 32 683 1 154 8991 10 10132 887.40
32 32 683 1 155 8994 10 10132 887.67
32 32 683 1 156 8989 10 10138 886.67
32 32 683 1 157 8990 10 10129 887.59
32 32 683 1 158 9045 10 10149 891.20
32 32 683 1 159 9025 10 10133 890.68
32 32 683 1 160 9045 10 10145 891.62
