# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 131072 2 1 14 10 10016 1.40
32 32 131072 2 2 28 10 10116 2.77
32 32 131072 2 3 42 10 10117 4.15
32 32 131072 2 4 56 10 10188 5.50
32 32 131072 2 5 70 10 10246 6.83
32 32 131072 2 6 84 10 10741 7.82
32 32 131072 2 7 98 10 10395 9.43
32 32 131072 2 8 112 10 10319 10.85
32 32 131072 2 9 125 10 10690 11.69
32 32 131072 2 10 140 10 10578 13.24
32 32 131072 2 11 152 10 10710 14.19
32 32 131072 2 12 161 10 10710 15.03
32 32 131072 2 13 171 10 10609 16.12
32 32 131072 2 14 186 10 10720 17.35
32 32 131072 2 15 197 10 10707 18.40
32 32 131072 2 16 204 10 10637 19.18
32 32 131072 2 17 221 10 10702 20.65
32 32 131072 2 18 232 10 10714 21.65
32 32 131072 2 19 230 10 10614 21.67
32 32 131072 2 20 260 10 10720 24.25
32 32 131072 2 21 261 10 10696 24.40
32 32 131072 2 22 256 10 10718 23.88
32 32 131072 2 23 266 10 10714 24.83
32 32 131072 2 24 286 10 10692 26.75
32 32 131072 2 25 290 10 10731 27.02
32 32 131072 2 26 275 10 10741 25.60
32 32 131072 2 27 293 10 10730 27.31
32 32 131072 2 28 285 10 10744 26.53
32 32 131072 2 29 296 10 10778 27.46
32 32 131072 2 30 311 10 10756 28.92
32 32 131072 2 31 312 10 10810 28.86
32 32 131072 2 32 320 10 10731 29.82
32 32 131072 2 33 296 10 10850 27.28
32 32 131072 2 34 343 10 10746 31.92
32 32 131072 2 35 344 10 10853 31.70
32 32 131072 2 36 322 10 10747 29.96
32 32 131072 2 37 360 10 10751 33.49
32 32 131072 2 38 365 10 11454 31.87
32 32 131072 2 39 369 10 10836 34.05
32 32 131072 2 40 372 10 10749 34.61
32 32 131072 2 41 374 10 11216 33.34
32 32 131072 2 42 389 10 12529 31.05
32 32 131072 2 43 361 10 11670 30.93
32 32 131072 2 44 379 10 10956 34.59
32 32 131072 2 45 398 10 11369 35.01
32 32 131072 2 46 382 10 10787 35.41
32 32 131072 2 47 385 10 10967 35.10
32 32 131072 2 48 386 10 10811 35.70
32 32 131072 2 49 400 10 12150 32.92
32 32 131072 2 50 407 10 10929 37.24
32 32 131072 2 51 389 10 11353 34.26
32 32 131072 2 52 405 10 11028 36.72
32 32 131072 2 53 411 10 10852 37.87
32 32 131072 2 54 418 10 12071 34.63
32 32 131072 2 55 421 10 11519 36.55
32 32 131072 2 56 414 10 11830 35.00
32 32 131072 2 57 410 10 11332 36.18
32 32 131072 2 58 424 10 11233 37.74
32 32 131072 2 59 413 10 12447 33.18
32 32 131072 2 60 410 10 11761 34.86
32 32 131072 2 61 424 10 11822 35.87
32 32 131072 2 62 432 10 11234 38.45
32 32 131072 2 63 428 10 12368 34.60
32 32 131072 2 64 430 10 11267 38.17
32 32 131072 2 65 428 10 11737 36.46
32 32 131072 2 66 439 10 11436 38.39
32 32 131072 2 67 437 10 11181 39.08
32 32 131072 2 68 437 10 11294 38.69
32 32 131072 2 69 432 10 12253 35.26
32 32 131072 2 70 425 10 11358 37.42
32 32 131072 2 71 447 10 11787 37.92
32 32 131072 2 72 438 10 11744 37.30
32 32 131072 2 73 453 10 11240 40.30
32 32 131072 2 74 443 10 11843 37.41
32 32 131072 2 75 444 10 11769 37.73
32 32 131072 2 76 440 10 11860 37.10
32 32 131072 2 77 453 10 11765 38.50
32 32 131072 2 78 453 10 11836 38.27
32 32 131072 2 79 451 10 12197 36.97
32 32 131072 2 80 449 10 11677 38.45
32 32 131072 2 81 448 10 11741 38.16
32 32 131072 2 82 450 10 11773 38.22
32 32 131072 2 83 459 10 11424 40.18
32 32 131072 2 84 451 10 12393 36.39
32 32 131072 2 85 456 10 11896 38.33
32 32 131072 2 86 461 10 12590 36.62
32 32 131072 2 87 464 10 11578 40.08
32 32 131072 2 88 461 10 12173 37.87
32 32 131072 2 89 461 10 12411 37.14
32 32 131072 2 90 451 10 11935 37.79
32 32 131072 2 91 470 10 11700 40.17
32 32 131072 2 92 468 10 12156 38.50
32 32 131072 2 93 477 10 12241 38.97
32 32 131072 2 94 468 10 12237 38.24
32 32 131072 2 95 470 10 12116 38.79
32 32 131072 2 96 480 10 12001 40.00
32 32 131072 2 97 473 10 11720 40.36
32 32 131072 2 98 474 10 12288 38.58
32 32 131072 2 99 484 10 12360 39.16
32 32 131072 2 100 479 10 12121 39.52
32 32 131072 2 101 473 10 12584 37.59
32 32 131072 2 102 479 10 12179 39.33
32 32 131072 2 103 483 10 12418 38.90
32 32 131072 2 104 479 10 12487 38.36
32 32 131072 2 105 483 10 12341 39.14
32 32 131072 2 106 476 10 12582 37.83
32 32 131072 2 107 477 10 12892 37.00
32 32 131072 2 108 478 10 12188 39.22
